#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	15885	3	N	N	1	both	*	1
contig_2	11669	5	N	N	1	both	*	2
contig_3	1460	9	N	N	2	both	*	3
contig_4	39692	3	Y	N	1	none	*	4
contig_5	28351	3	N	N	1	both	*	5
contig_6	3745	7	N	N	2	both	*	6
contig_7	3225	4	N	N	1	both	*	7
contig_8	1317	4	N	N	1	both	*	8
contig_9	12433	7	N	N	2	both	*	9
contig_10	1659	5	N	N	1	both	*	10
contig_13	5117	3	N	N	1	both	*	13
contig_14	10491	3	N	N	1	both	*	14
contig_15	16397	12	N	N	3	both	*	15
contig_16	39734	3	N	N	1	both	*	16
contig_17	27599	3	N	N	1	both	*	17
contig_18	11362	3	N	N	1	both	*	18
contig_19	37571	4	N	N	1	both	*	19
contig_20	1843	3	N	N	1	both	*	20
contig_21	14062	3	N	N	1	both	*	21
contig_22	22744	3	N	N	1	both	*	22
contig_23	2569	15	N	N	4	both	*	23
contig_24	6263	3	N	N	1	both	*	24
contig_27	21660	24	N	N	6	both	*	27
contig_28	9373	18	N	N	5	both	*	28
contig_29	9662	10	N	N	3	both	*	29
contig_30	12186	8	N	N	2	both	*	30
contig_31	6219	5	N	N	1	both	*	31
contig_32	17480	3	N	N	1	both	*	32
contig_33	13949	3	N	N	1	both	*	33
contig_34	17226	3	N	N	1	both	*	34
contig_35	6850	6	N	N	2	both	*	35
contig_36	14962	3	N	N	1	both	*	36
contig_37	12679	4	N	N	1	both	*	37
contig_38	2539	3	N	N	1	both	*	38
contig_39	34174	13	N	N	3	both	*	39
contig_46	1179	3	N	N	1	both	*	46
contig_47	1434	9	N	N	2	both	*	47
contig_48	14821	4	N	N	1	both	*	48
contig_49	22578	4	N	N	1	both	*	49
contig_50	15193	5	N	N	1	both	*	50
contig_51	29535	3	N	N	1	both	*	51
contig_52	9981	8	N	N	2	both	*	52
contig_53	17201	7	N	N	2	both	*	53
contig_54	7810	3	N	N	1	both	*	54
contig_55	12455	11	N	N	3	both	*	55
contig_56	6802	9	N	N	2	both	*	56
contig_57	1190	70	N	N	18	both	*	57
contig_58	9884	18	N	N	5	both	*	58
contig_59	1896	16	N	N	4	both	*	59
contig_60	2963	97	N	N	24	both	*	60
contig_61	2691	36	N	N	9	both	*	61
contig_62	14066	7	N	N	2	both	*	62
contig_63	6527	3	N	N	1	both	*	63
contig_64	41650	7	N	N	2	both	*	64
contig_66	4218	4	N	N	1	both	*	66
contig_67	11201	4	N	N	1	both	*	67
contig_68	37170	5	N	N	1	left	*	68,70
contig_69	11228	4	N	N	1	both	*	69
contig_72	9839	4	N	N	1	both	*	72
contig_73	14265	3	N	N	1	both	*	73
contig_74	15308	3	N	N	1	both	*	74
contig_75	6997	3	N	N	1	both	*	75
contig_76	13955	3	N	N	1	both	*	76
contig_77	3163	3	N	N	1	both	*	77
contig_78	3361	7	N	N	2	both	*	78
contig_79	10846	4	N	N	1	both	*	79
contig_80	10949	3	N	N	1	both	*	80
contig_81	6711	3	N	N	1	both	*	81
contig_82	15295	3	N	N	1	both	*	82
contig_83	17572	4	N	N	1	both	*	83
contig_84	20813	3	N	N	1	both	*	84
contig_85	17930	3	N	N	1	both	*	85
contig_86	2785	3	N	N	1	both	*	86
contig_87	10723	3	N	N	1	both	*	87
contig_88	2586	9	N	N	2	both	*	88
contig_89	19834	4	N	N	1	both	*	89
contig_90	6398	5	N	N	1	both	*	90
contig_93	1365	4	N	N	1	both	*	93
contig_94	33127	4	N	N	1	both	*	94
contig_96	29298	13	Y	N	3	none	*	96
contig_108	3145	3	N	N	1	both	*	108
contig_109	6733	3	N	N	1	both	*	109
contig_110	23203	5	N	N	1	both	*	110
contig_111	6898	4	N	N	1	both	*	111
contig_112	10519	3	N	N	1	both	*	112
contig_113	33801	4	N	N	1	both	*	113
contig_114	7103	5	N	N	1	both	*	114
contig_115	2423	3	N	N	1	both	*	115
