contig_id	length	prediction	entropy	reliability_score	host_contam	prophage_contam	G+C	N%	prediction_2	#_bacteria_windows	#_phage_windows	#_eukarya_windows	#_archaea_windows	bacteria_score	bacteria_var	phage_score	phage_var	eukarya_score	eukarya_var	archaea_score	archaea_var	window_summary	terminal_repeats	repeat_length
contig_1002																								
contig_1003																								
contig_1	2568.000	phage	0.009	0.936	False	False	0.519	0.000	bacteria	0.000	1.000	0.000	0.000	-1.565	0.000	5.816	0.000	-5.980	0.000	-3.385	0.000	1V		
contig_1004	2316.000	phage	0.027	0.893	False	False	0.268	0.000	bacteria	0.000	1.000	0.000	0.000	-0.990	0.000	5.078	0.000	-5.352	0.000	-3.582	0.000	1V		
contig_1005	2675.000	phage	0.082	0.910	False	False	0.547	0.000	bacteria	0.000	1.000	0.000	0.000	-0.090	0.000	4.527	0.000	-5.465	0.000	-4.348	0.000	1V		
contig_1008	2228.000	phage	0.167	0.912	False	False	0.480	0.000	bacteria	0.000	1.000	0.000	0.000	0.228	0.000	3.988	0.000	-5.105	0.000	-3.094	0.000	1V		
contig_1009	2645.000	non-phage	1.149	0.459	False	False	0.535	0.000		0.000	0.000	1.000	0.000	0.920	0.000	-1.499	0.000	1.390	0.000	-4.973	0.000	1n		
contig_1006	43357.000	phage	0.281	0.645	True	False	0.493	0.000	bacteria	0.000	18.000	3.000	0.000	-0.600	0.435	3.457	3.787	-3.123	6.914	-4.098	0.993	8V2n7V1n3V	DTR	97.000
contig_1007	36319.000	phage	0.156	0.815	False	False	0.354	0.000	bacteria	0.000	17.000	0.000	0.000	0.078	0.521	4.711	1.076	-5.793	1.228	-3.641	0.357	17V		
contig_101	18777.000	phage	0.320	0.457	False	False	0.381	0.000	bacteria	0.000	8.000	1.000	0.000	-1.078	1.826	3.768	2.170	-2.805	5.109	-4.188	0.948	2V1n6V	ITR	13.000
contig_1010	14766.000	phage	0.680	0.404	True	False	0.575	0.000	bacteria	1.000	5.000	1.000	0.000	-0.377	0.932	2.148	3.062	-1.167	5.000	-5.090	0.514	3V1n1V1n1V		
contig_1011	7212.000	non-phage	0.542	0.698	False	False	0.698	0.000		2.000	1.000	0.000	0.000	3.047	1.362	2.975	1.396	-6.406	3.004	-5.633	0.004	1n1V1n		
contig_1012	5344.000	phage	0.605	0.481	False	False	0.566	0.000	bacteria	0.000	2.000	0.000	0.000	2.301	0.368	4.086	0.001	-5.027	0.714	-4.973	0.187	2V		
