Description	Count	Contig
CDS	198	contig_1062
connector	0	contig_1062
DNA, RNA and nucleotide metabolism	5	contig_1062
head and packaging	8	contig_1062
integration and excision	0	contig_1062
lysis	0	contig_1062
moron, auxiliary metabolic gene and host takeover	2	contig_1062
other	6	contig_1062
tail	4	contig_1062
transcription regulation	0	contig_1062
unknown function	173	contig_1062
VFDB_Virulence_Factors	0	contig_1062
CARD_AMR	0	contig_1062
ACR_anti_crispr	0	contig_1062
Defensefinder	0	contig_1062
Netflax	0	contig_1062
CDS	204	contig_1096
connector	0	contig_1096
DNA, RNA and nucleotide metabolism	17	contig_1096
head and packaging	17	contig_1096
integration and excision	1	contig_1096
lysis	1	contig_1096
moron, auxiliary metabolic gene and host takeover	0	contig_1096
other	5	contig_1096
tail	3	contig_1096
transcription regulation	2	contig_1096
unknown function	158	contig_1096
VFDB_Virulence_Factors	0	contig_1096
CARD_AMR	0	contig_1096
ACR_anti_crispr	0	contig_1096
Defensefinder	0	contig_1096
Netflax	0	contig_1096
CDS	122	contig_1169
connector	0	contig_1169
DNA, RNA and nucleotide metabolism	5	contig_1169
head and packaging	2	contig_1169
integration and excision	0	contig_1169
lysis	3	contig_1169
moron, auxiliary metabolic gene and host takeover	0	contig_1169
other	0	contig_1169
tail	2	contig_1169
transcription regulation	0	contig_1169
unknown function	110	contig_1169
VFDB_Virulence_Factors	0	contig_1169
CARD_AMR	0	contig_1169
ACR_anti_crispr	0	contig_1169
Defensefinder	0	contig_1169
Netflax	0	contig_1169
CDS	69	contig_1459
connector	0	contig_1459
DNA, RNA and nucleotide metabolism	2	contig_1459
head and packaging	3	contig_1459
integration and excision	0	contig_1459
lysis	0	contig_1459
moron, auxiliary metabolic gene and host takeover	0	contig_1459
other	1	contig_1459
tail	0	contig_1459
transcription regulation	0	contig_1459
unknown function	63	contig_1459
VFDB_Virulence_Factors	0	contig_1459
CARD_AMR	0	contig_1459
ACR_anti_crispr	0	contig_1459
Defensefinder	0	contig_1459
Netflax	0	contig_1459
CDS	68	contig_1460
connector	0	contig_1460
DNA, RNA and nucleotide metabolism	1	contig_1460
head and packaging	0	contig_1460
integration and excision	0	contig_1460
lysis	0	contig_1460
moron, auxiliary metabolic gene and host takeover	0	contig_1460
other	0	contig_1460
tail	4	contig_1460
