#seq_name	length	coverage
contig_1	2432	3
contig_4	2508	9
contig_7	2899	8
contig_10	1063	12
contig_8	5704	4
contig_9	8818	4
contig_13	2694	7
contig_20	8706	3
contig_28	2901	3
contig_12	12476	5
contig_3	6001	25
contig_36	6049	4
contig_29	2968	5
contig_32	5147	3
contig_19	7875	6
contig_42	5074	5
contig_46	2779	6
contig_47	3874	3
contig_43	8915	3
contig_35	20716	3
contig_18	3904	30
contig_11	12265	7
contig_25	13814	5
contig_17	10643	10
contig_49	6525	4
contig_31	16579	3
contig_41	14699	13
contig_33	19216	3
contig_30	14873	6
contig_55	9909	4
contig_59	3678	2
contig_27	33820	4
contig_5	15385	20
contig_58	10774	5
contig_26	14437	12
contig_60	4148	8
contig_2	41925	5
contig_24	34117	5
contig_50	17010	4
contig_44	15919	11
contig_51	12694	6
contig_16	43669	6
contig_64	8070	8
contig_48	22818	5
contig_56	12299	8
contig_34	40407	3
contig_72	11025	5
contig_71	10955	9
contig_77	2823	3
contig_76	5281	3
contig_67	27123	4
contig_75	5500	9
contig_54	13011	17
contig_74	8473	10
contig_21	58676	6
contig_6	37356	15
contig_45	37341	5
contig_70	16120	8
contig_82	14853	5
contig_90	6694	4
contig_89	7580	9
contig_81	15827	6
contig_73	27032	8
contig_63	46153	5
contig_69	31813	8
contig_93	2881	7
contig_92	11246	4
contig_91	10757	6
contig_94	17050	5
contig_78	37794	6
contig_97	2579	5
contig_95	33196	3
contig_112	4996	8
contig_110	10605	8
contig_109	11662	8
contig_116	4284	4
contig_115	7041	4
contig_118	2687	3
contig_117	15197	3
contig_120	3041	5
contig_114	15313	7
contig_121	3300	4
contig_123	6995	3
contig_124	4036	3
contig_122	15912	4
contig_119	27383	5
contig_96	33468	10
contig_125	17556	3
contig_129	14257	3
contig_130	8543	8
contig_134	5338	6
contig_132	20709	4
contig_136	7749	4
contig_133	21888	4
contig_128	40825	5
contig_139	11199	3
contig_138	6185	8
contig_137	14509	6
contig_135	14082	6
contig_142	7012	4
contig_147	2756	3
contig_148	3359	4
contig_144	17924	1
contig_141	17669	3
contig_149	5494	4
contig_151	2239	3
contig_131	17402	24
contig_150	6565	6
contig_140	25471	3
contig_152	12803	3
contig_154	7688	3
contig_143	36662	5
contig_153	16800	5
contig_158	4307	4
contig_157	12974	3
contig_155	27514	4
contig_163	2459	7
contig_162	13389	4
contig_159	16221	7
contig_166	2499	4
contig_156	27993	7
contig_161	12191	6
contig_164	14326	4
contig_167	7763	3
contig_178	2611	4
contig_165	7082	13
contig_160	24238	7
contig_183	3291	4
contig_179	17963	4
contig_185	4613	3
contig_180	14275	5
contig_187	3334	3
contig_182	14415	5
contig_181	15564	5
contig_194	2741	4
contig_189	6085	14
contig_184	14287	10
contig_192	12350	4
contig_193	10505	4
contig_188	14551	16
contig_196	7942	3
contig_198	3164	5
contig_197	6396	6
contig_195	15853	7
contig_203	2799	4
contig_199	16213	3
contig_200	15128	3
contig_204	4765	3
contig_206	1209	2
contig_201	14491	6
contig_190	38897	5
contig_207	11271	5
contig_210	9644	5
contig_212	7293	4
contig_214	2539	4
contig_211	9874	3
contig_213	7523	4
contig_215	2262	8
contig_202	49316	4
contig_218	2508	3
contig_216	10898	4
contig_219	2464	4
contig_217	15473	4
contig_205	36622	5
contig_221	6966	5
contig_231	2698	1
contig_220	14056	7
contig_232	2608	5
contig_222	8376	19
contig_235	2832	4
contig_224	6669	17
contig_236	4641	4
contig_234	16224	4
contig_237	6343	3
contig_242	3004	4
contig_241	7831	3
contig_240	15998	4
contig_243	10954	3
contig_246	2542	5
contig_245	10253	4
contig_248	2675	6
contig_249	4274	4
contig_238	39068	4
contig_250	11924	4
contig_251	7307	3
contig_255	2441	4
contig_247	29751	4
contig_252	16722	3
contig_253	20026	3
contig_254	14208	5
contig_259	3536	11
contig_263	3162	8
contig_223	21153	33
contig_267	5781	6
contig_261	31021	3
contig_268	6031	6
contig_262	35966	2
contig_270	2896	19
contig_280	5126	3
contig_283	5294	6
contig_264	33204	3
contig_265	35228	2
contig_22	2897	1
contig_15	4080	0
contig_14	12121	2
contig_271	31208	4
contig_269	36986	4
contig_38	3274	1
contig_37	6303	11
contig_40	9474	1
contig_62	7889	3
contig_65	1125	0
contig_66	4325	6
contig_53	5225	0
contig_275	34820	7
contig_79	1914	0
contig_239	108201	5
contig_80	9296	1
contig_83	499	2
contig_84	471	1
contig_52	30779	3
contig_86	1835	2
contig_85	1934	1
contig_282	36429	11
contig_87	690	1
contig_88	693	2
contig_100	6469	3
contig_101	1678	0
contig_103	908	1
contig_105	906	1
contig_170	2332	1
contig_104	1443	1
contig_171	1035	0
contig_168	6067	6
contig_172	1698	1
contig_113	41860	2
contig_173	1665	7
contig_111	27778	3
contig_146	38769	2
contig_175	2849	3
contig_145	33694	2
contig_176	7064	1
contig_226	1590	1
contig_191	1273	1
contig_186	528	20
contig_177	14541	5
contig_227	3571	3
contig_208	30211	2
contig_260	35194	41
contig_209	32460	1
contig_169	31718	11
contig_230	7777	6
contig_272	11326	3
contig_273	19195	2
contig_278	4975	1
contig_279	7155	2
contig_281	6672	3
contig_266	36134	2
contig_274	31159	1
contig_277	27866	2
contig_258	35830	2
contig_276	30093	3
contig_233	85389	35
