#seq_name	length	coverage
contig_1	2568	5
contig_3	1333	3
contig_4	2497	8
contig_13	6690	7
contig_17	3234	6
contig_14	4698	7
contig_15	2787	10
contig_2	7614	7
contig_19	2987	3
contig_5	21271	4
contig_54	997	1
contig_33	691	31
contig_52	3310	3
contig_62	5181	3
contig_6	14478	3
contig_59	4425	7
contig_7	12441	6
contig_53	4292	12
contig_50	7708	8
contig_61	3640	19
contig_51	6316	11
contig_69	5598	6
contig_39	8163	7
contig_18	17994	5
contig_63	9984	4
contig_68	6717	12
contig_60	13569	6
contig_55	8222	13
contig_77	7353	4
contig_20	10453	11
contig_86	784	2
contig_79	6072	5
contig_65	8311	19
contig_75	16120	4
contig_74	31866	4
contig_16	26548	4
contig_82	8994	9
contig_24	25396	8
contig_89	14969	4
contig_78	25643	4
contig_91	12705	3
contig_93	15925	4
contig_98	14750	3
contig_90	15282	8
contig_96	15996	3
contig_76	42392	3
contig_83	12556	12
contig_102	16498	3
contig_107	1520	12
contig_66	36915	10
contig_103	16445	9
contig_116	2724	6
contig_112	7845	7
contig_99	35015	4
contig_92	54599	4
contig_119	7473	5
contig_108	16635	12
contig_117	7851	4
contig_121	2392	6
contig_122	9998	3
contig_58	85038	5
contig_105	29683	7
contig_109	15785	6
contig_131	2821	5
contig_111	21074	5
contig_136	2942	3
contig_137	1084	3
contig_120	27677	5
contig_130	16647	8
contig_110	33382	7
contig_104	16758	43
contig_145	3548	31
contig_147	2885	8
contig_148	2681	8
contig_146	3118	8
contig_132	37964	4
contig_163	1238	10
contig_149	3804	14
contig_140	29706	4
contig_164	2125	6
contig_165	2769	7
contig_138	31528	5
contig_167	1620	4
contig_123	43186	7
contig_166	2713	5
contig_139	26146	12
contig_114	16419	44
contig_133	53613	7
contig_168	26659	4
contig_170	9363	3
contig_169	16030	4
contig_173	7718	12
contig_188	13826	4
contig_224	1625	4
contig_186	21189	7
contig_192	8032	4
contig_198	4994	3
contig_197	7652	5
contig_174	32589	5
contig_201	1654	3
