#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_1	2548	4	N	N	1	both	*	1
contig_2	7570	7	N	N	1	both	*	2
contig_3	1313	8	N	N	2	both	*	3
contig_4	2456	7	N	N	1	both	*	4
contig_5	20198	6	N	N	1	left	*	5
contig_6	14016	3	N	N	1	both	*	6
contig_7	11885	8	N	N	2	both	*	7
contig_13	6436	4	N	N	1	both	*	13
contig_14	4818	7	N	N	1	both	*	14
contig_15	2768	6	N	N	1	both	*	15
contig_16	26771	3	N	N	1	both	*	16
contig_17	2866	5	N	N	1	both	*	17
contig_18	17338	4	N	N	1	both	*	18
contig_19	2980	3	N	N	1	both	*	19
contig_20	10447	9	N	N	2	both	*	20
contig_24	25214	6	N	N	1	right	*	23,24,675
contig_33	689	44	N	N	9	right	*	33
contig_39	8525	8	N	N	2	both	*	39
contig_50	7744	8	N	N	2	both	*	50
contig_51	6247	13	N	N	3	both	*	51
contig_52	3285	22	N	N	4	both	*	52
contig_53	4311	30	N	N	6	both	*	53
contig_54	1014	5	N	N	1	both	*	54
contig_55	8049	12	N	N	2	both	*	55
contig_58	84523	5	N	N	1	both	*	58
contig_59	4416	6	N	N	1	both	*	59
contig_60	13096	3	N	N	1	both	*	60
contig_61	3410	5	N	N	1	both	*	61
contig_62	5147	3	N	N	1	both	*	62
contig_63	9878	3	N	N	1	both	*	63
contig_65	7661	11	N	N	2	both	*	65
contig_66	36041	8	N	N	2	both	*	66
contig_68	6211	8	N	N	2	both	*	68
contig_69	5338	4	N	N	1	both	*	69
contig_74	31570	4	N	N	1	both	*	74
contig_75	15404	3	N	N	1	both	*	75
contig_76	40364	3	N	N	1	both	*	76
contig_77	7244	3	N	N	1	both	*	77
contig_78	25691	5	N	N	1	both	*	78
contig_79	5792	5	N	N	1	both	*	79
contig_82	8785	11	N	N	2	both	*	82,87,88,88
contig_83	12471	6	N	N	1	both	*	83
contig_86	891	4	N	N	1	both	*	86
contig_89	14591	4	N	N	1	both	*	89
contig_90	14833	5	N	N	1	both	*	90
contig_91	12484	3	N	N	1	both	*	91
contig_92	53909	3	N	N	1	both	*	92
contig_93	15887	4	N	N	1	both	*	93
contig_96	15525	3	N	N	1	left	*	96,-673
contig_98	14663	3	N	N	1	both	*	98
contig_99	36166	7	Y	N	1	none	*	99
contig_102	15217	3	N	N	1	both	*	102
contig_103	16432	8	N	N	2	both	*	103
contig_104	16398	39	N	N	8	both	*	104
contig_105	29523	5	Y	N	1	none	*	105
contig_107	1517	11	N	N	2	both	*	107
contig_108	17197	10	N	N	2	both	*	108
contig_109	15751	8	N	N	2	both	*	109
contig_110	33055	5	Y	N	1	none	*	110
contig_111	18610	6	N	N	1	both	*	111
contig_112	7603	4	N	N	1	both	*	112
contig_114	16527	52	N	N	10	both	*	114
contig_116	2693	11	N	N	2	both	*	116
contig_117	7817	4	N	N	1	both	*	117
contig_119	7439	4	N	N	1	both	*	119
contig_120	27434	3	N	N	1	both	*	120
contig_121	2389	5	N	N	1	both	*	121
contig_122	9677	3	N	N	1	both	*	122
contig_123	43077	9	Y	N	2	none	*	123
contig_130	16094	4	N	N	1	both	*	130
contig_131	2798	3	N	N	1	both	*	131
contig_132	37607	7	Y	N	1	none	*	132
contig_133	52979	6	N	N	1	both	*	133
contig_136	2922	3	N	N	1	both	*	136
contig_137	1077	3	N	N	1	both	*	137
contig_138	30794	4	N	N	1	both	*	138
contig_139	25643	9	N	N	2	both	*	139
contig_140	30447	5	Y	N	1	none	*	140
contig_145	3430	28	N	N	6	both	*	145
contig_146	2986	7	N	N	1	both	*	146
contig_147	2481	5	N	N	1	both	*	147
contig_148	2809	5	N	N	1	both	*	148
contig_149	3581	10	N	N	2	both	*	149
contig_152	32858	19	N	N	4	both	*	151,151,151,152,160,161
contig_163	1249	11	N	N	2	both	*	163
contig_164	1945	4	N	N	1	both	*	164
contig_165	2615	7	N	N	1	both	*	165
contig_166	2644	3	N	N	1	both	*	166
contig_167	1613	4	N	N	1	both	*	167
contig_168	26051	3	Y	N	1	none	*	168
contig_169	15399	4	N	N	1	both	*	169
contig_170	9250	3	N	N	1	both	*	170
contig_173	7635	8	N	N	2	both	*	173
contig_174	32328	6	Y	N	1	none	*	174
contig_184	57226	4	N	N	1	right	*	-473,-187,184
contig_185	29864	3	N	N	1	right	*	-473,-187,185
contig_186	19742	5	N	N	1	none	*	-473,-187,186,-473
contig_188	13606	3	N	N	1	both	*	188
contig_189	33546	4	N	N	1	left	*	-1053,-194,189,473
contig_190	1104	3	N	N	1	both	*	190
contig_192	8014	4	N	N	1	both	*	192
contig_197	7538	4	N	N	1	both	*	197
contig_198	4588	3	N	N	1	both	*	198
contig_199	13522	3	N	N	1	both	*	199
contig_200	108918	3	N	N	1	both	*	200
contig_201	1637	3	N	N	1	both	*	201
contig_202	16607	14	N	N	3	both	*	202
contig_206	19647	4	N	N	1	both	*	206
contig_207	18879	3	N	N	1	both	*	207
contig_208	6687	5	N	N	1	both	*	208
contig_209	11073	3	N	N	1	both	*	209
contig_212	2297	3	N	N	1	both	*	212
contig_213	36259	4	N	N	1	both	*	213
contig_214	5873	3	N	N	1	both	*	214
contig_215	36349	8	Y	N	2	none	*	215
contig_219	3070	3	N	N	1	both	*	219
contig_220	4760	3	N	N	1	both	*	220
contig_221	2958	3	N	N	1	both	*	221
contig_222	13080	5	N	N	1	both	*	222
contig_223	3701	6	N	N	1	both	*	223
contig_224	1612	3	N	N	1	both	*	224
contig_225	13227	3	N	N	1	both	*	225
contig_226	4540	4	N	N	1	both	*	226
contig_227	1993	8	N	N	2	both	*	227
contig_228	1972	5	N	N	1	both	*	228
contig_233	5796	5	N	N	1	right	*	36,233,238,239,240
contig_234	5010	6	N	N	1	right	*	36,234,238,239,240
contig_235	5106	4	N	N	1	right	*	36,235,239,240
contig_236	5162	15	N	N	3	right	*	36,236,239,240
contig_237	5258	11	N	N	2	right	*	36,237,240
contig_241	559	41	N	N	8	both	*	241
contig_242	2153	5	N	N	1	both	*	242
contig_243	8900	3	N	N	1	both	*	243
contig_246	30266	4	Y	N	1	none	*	246
contig_249	6975	3	N	N	1	both	*	249
contig_250	9270	3	N	N	1	both	*	250
contig_251	2498	4	N	N	1	both	*	251
contig_252	5198	8	N	N	2	both	*	252
contig_253	14465	9	N	N	2	both	*	253
contig_254	9266	3	N	N	1	both	*	254
contig_255	3943	3	N	N	1	both	*	255
contig_256	28405	4	Y	N	1	none	*	256
contig_257	14064	3	N	N	1	both	*	257
contig_260	38319	4	Y	N	1	none	*	260
contig_263	4386	3	N	N	1	both	*	263
contig_264	15081	4	N	N	1	both	*	264
contig_265	13904	7	N	N	1	both	*	265
contig_266	14007	6	N	N	1	both	*	266
contig_267	53050	3	N	N	1	left	*	267,268
contig_270	10416	3	N	N	1	none	*	-268,270,-268
contig_271	35029	10	Y	N	2	none	*	271
contig_281	5314	3	N	N	1	both	*	281
contig_282	2038	3	N	N	1	both	*	282
contig_283	13214	3	N	N	1	both	*	283
contig_284	23043	3	N	N	1	both	*	284
contig_285	27314	4	N	N	1	both	*	-299,285,1533
contig_286	13931	3	N	N	1	both	*	286
contig_287	3029	3	N	N	1	both	*	287
contig_288	18687	6	N	N	1	both	*	288
contig_292	15595	10	N	N	2	both	*	292
contig_293	1266	5	N	N	1	both	*	293
contig_294	3454	5	N	N	1	both	*	294
contig_295	3923	4	N	N	1	both	*	295
contig_296	15311	5	N	N	1	both	*	296
contig_297	11801	6	N	N	1	both	*	297
contig_298	22699	3	N	N	1	both	*	298,299
contig_302	11917	4	N	N	1	both	*	302
contig_303	12468	4	N	N	1	both	*	303
contig_304	14853	3	N	N	1	both	*	304
contig_305	12165	3	N	N	1	both	*	305
contig_308	29526	3	N	N	1	both	*	308
contig_316	38067	14	Y	N	3	none	*	316
contig_317	787	3	N	N	1	both	*	317
contig_327	27848	10	N	N	2	both	*	327,331
contig_328	4160	6	N	N	1	both	*	328
contig_329	991	11	N	N	2	both	*	329
contig_330	3721	7	N	N	1	both	*	330
contig_332	3237	40	N	N	8	both	*	332
contig_333	3173	33	N	N	7	both	*	333
contig_334	1662	15	N	N	3	both	*	334
contig_335	2770	111	N	N	22	both	*	335
contig_336	2523	14	N	N	3	both	*	336
contig_342	33777	4	Y	N	1	none	*	342
contig_343	15011	5	N	N	1	both	*	343
contig_344	28264	3	N	N	1	both	*	344
contig_345	8716	3	N	N	1	both	*	345
contig_346	15134	4	N	N	1	both	*	346
contig_347	8355	3	N	N	1	both	*	347
contig_348	7106	3	N	N	1	both	*	348
contig_349	2107	4	N	N	1	both	*	349
contig_350	1366	7	N	N	1	both	*	350
contig_351	3435	4	N	N	1	both	*	351
contig_352	11710	3	N	N	1	both	*	352
contig_353	5112	3	N	N	1	both	*	353
contig_354	4353	3	N	N	1	both	*	354
contig_372	3143	8	N	N	2	both	*	372
contig_373	9984	7	N	N	1	both	*	373
contig_374	3145	8	N	N	2	both	*	374
contig_375	10651	4	N	N	1	both	*	375
contig_376	7887	3	N	N	1	both	*	376
contig_377	14774	3	N	N	1	both	*	377
contig_380	26312	4	N	N	1	both	*	380
contig_381	11307	3	N	N	1	both	*	381
contig_382	36520	4	Y	N	1	none	*	382
contig_383	60734	8	Y	N	2	none	*	383
contig_386	31754	3	N	N	1	both	*	386
contig_387	6041	3	N	N	1	both	*	387
contig_388	15078	6	N	N	1	both	*	388
contig_389	12101	3	N	N	1	both	*	389
contig_392	9845	3	N	N	1	both	*	392
contig_393	10198	3	N	N	1	both	*	393
contig_394	8830	3	N	N	1	both	*	394
contig_395	15114	3	N	N	1	both	*	395
contig_396	5079	3	N	N	1	both	*	396
contig_398	14364	4	N	N	1	both	*	398
contig_399	10242	5	N	N	1	both	*	399
contig_400	15036	3	N	N	1	both	*	400
contig_401	12289	4	N	N	1	both	*	401
contig_402	1427	11	N	N	2	both	*	402
contig_403	6628	3	N	N	1	both	*	403
contig_404	4696	4	N	N	1	both	*	404
contig_408	4591	3	N	N	1	both	*	408
contig_411	2362	4	N	N	1	both	*	411
contig_412	25704	3	N	N	1	both	*	412
contig_413	33140	3	N	N	1	both	*	413
contig_416	24546	4	N	N	1	both	*	416
contig_417	11803	5	N	N	1	both	*	417
contig_418	4836	5	N	N	1	both	*	418
contig_419	2647	3	N	N	1	both	*	419
contig_420	9699	4	N	N	1	both	*	420
contig_421	31388	4	N	N	1	both	*	421
contig_424	41241	12	Y	N	2	none	*	424
contig_425	18632	3	N	N	1	both	*	425
contig_426	24421	4	N	N	1	both	*	426
contig_427	3277	4	N	N	1	both	*	427
contig_428	14212	3	N	N	1	both	*	428
contig_429	10101	3	N	N	1	both	*	429
contig_434	56281	9	N	N	2	both	*	434
contig_435	1541	3	N	N	1	both	*	435
contig_436	6564	3	N	N	1	both	*	436
contig_437	36876	4	N	N	1	both	*	437
contig_438	13637	3	N	N	1	both	*	438
contig_439	4867	4	N	N	1	both	*	439
contig_440	2641	6	N	N	1	both	*	440
contig_441	1667	3	N	N	1	both	*	441
contig_442	11475	3	N	N	1	both	*	442
contig_443	19307	3	N	N	1	both	*	443
contig_444	1301	5	N	N	1	both	*	444
contig_445	5903	4	N	N	1	both	*	445
contig_447	43012	3	N	N	1	right	*	446,447
contig_448	2349	3	N	N	1	both	*	448
contig_449	3042	3	N	N	1	both	*	449
contig_450	1935	32	N	N	6	both	*	450
contig_451	1397	13	N	N	3	both	*	451
contig_452	1447	6	N	N	1	both	*	452
contig_455	5648	4	N	N	1	both	*	455
contig_456	4771	3	N	N	1	both	*	456
contig_457	7746	3	N	N	1	both	*	457
contig_458	1537	3	N	N	1	both	*	458
contig_461	16788	4	N	N	1	both	*	461
contig_462	15127	3	N	N	1	both	*	462
contig_463	9059	3	N	N	1	both	*	463
