Description	Count	Contig
CDS	88	contig_1062
connector	0	contig_1062
DNA, RNA and nucleotide metabolism	3	contig_1062
head and packaging	8	contig_1062
integration and excision	0	contig_1062
lysis	0	contig_1062
moron, auxiliary metabolic gene and host takeover	1	contig_1062
other	5	contig_1062
tail	3	contig_1062
transcription regulation	0	contig_1062
unknown function	68	contig_1062
VFDB_Virulence_Factors	0	contig_1062
CARD_AMR	0	contig_1062
ACR_anti_crispr	0	contig_1062
Defensefinder	0	contig_1062
Netflax	0	contig_1062
CDS	120	contig_1096
connector	0	contig_1096
DNA, RNA and nucleotide metabolism	16	contig_1096
head and packaging	17	contig_1096
integration and excision	1	contig_1096
lysis	0	contig_1096
moron, auxiliary metabolic gene and host takeover	0	contig_1096
other	5	contig_1096
tail	2	contig_1096
transcription regulation	1	contig_1096
unknown function	78	contig_1096
VFDB_Virulence_Factors	0	contig_1096
CARD_AMR	0	contig_1096
ACR_anti_crispr	0	contig_1096
Defensefinder	0	contig_1096
Netflax	0	contig_1096
CDS	74	contig_1169
connector	0	contig_1169
DNA, RNA and nucleotide metabolism	5	contig_1169
head and packaging	4	contig_1169
integration and excision	0	contig_1169
lysis	2	contig_1169
moron, auxiliary metabolic gene and host takeover	0	contig_1169
other	0	contig_1169
tail	2	contig_1169
transcription regulation	0	contig_1169
unknown function	61	contig_1169
VFDB_Virulence_Factors	0	contig_1169
CARD_AMR	0	contig_1169
ACR_anti_crispr	0	contig_1169
Defensefinder	0	contig_1169
Netflax	0	contig_1169
CDS	23	contig_1459
connector	0	contig_1459
DNA, RNA and nucleotide metabolism	1	contig_1459
head and packaging	2	contig_1459
integration and excision	0	contig_1459
lysis	0	contig_1459
moron, auxiliary metabolic gene and host takeover	0	contig_1459
other	0	contig_1459
tail	0	contig_1459
transcription regulation	0	contig_1459
unknown function	20	contig_1459
VFDB_Virulence_Factors	0	contig_1459
CARD_AMR	0	contig_1459
ACR_anti_crispr	0	contig_1459
Defensefinder	0	contig_1459
Netflax	0	contig_1459
CDS	21	contig_1460
connector	0	contig_1460
DNA, RNA and nucleotide metabolism	1	contig_1460
head and packaging	0	contig_1460
integration and excision	0	contig_1460
lysis	0	contig_1460
moron, auxiliary metabolic gene and host takeover	0	contig_1460
other	0	contig_1460
tail	1	contig_1460
transcription regulation	0	contig_1460
unknown function	19	contig_1460
VFDB_Virulence_Factors	0	contig_1460
CARD_AMR	0	contig_1460
ACR_anti_crispr	0	contig_1460
Defensefinder	0	contig_1460
Netflax	0	contig_1460
CDS	236	contig_200
connector	2	contig_200
DNA, RNA and nucleotide metabolism	26	contig_200
head and packaging	8	contig_200
integration and excision	0	contig_200
lysis	1	contig_200
moron, auxiliary metabolic gene and host takeover	2	contig_200
other	3	contig_200
tail	13	contig_200
transcription regulation	0	contig_200
unknown function	181	contig_200
VFDB_Virulence_Factors	0	contig_200
CARD_AMR	0	contig_200
ACR_anti_crispr	0	contig_200
Defensefinder	0	contig_200
Netflax	0	contig_200
CDS	122	contig_267
connector	1	contig_267
DNA, RNA and nucleotide metabolism	6	contig_267
head and packaging	9	contig_267
integration and excision	0	contig_267
lysis	2	contig_267
moron, auxiliary metabolic gene and host takeover	0	contig_267
other	2	contig_267
tail	5	contig_267
transcription regulation	0	contig_267
unknown function	97	contig_267
VFDB_Virulence_Factors	0	contig_267
CARD_AMR	0	contig_267
ACR_anti_crispr	0	contig_267
Defensefinder	0	contig_267
Netflax	0	contig_267
CDS	17	contig_400
connector	0	contig_400
DNA, RNA and nucleotide metabolism	1	contig_400
head and packaging	1	contig_400
integration and excision	0	contig_400
lysis	0	contig_400
moron, auxiliary metabolic gene and host takeover	0	contig_400
other	0	contig_400
tail	0	contig_400
transcription regulation	0	contig_400
unknown function	15	contig_400
VFDB_Virulence_Factors	0	contig_400
CARD_AMR	0	contig_400
ACR_anti_crispr	0	contig_400
Defensefinder	0	contig_400
Netflax	0	contig_400
CDS	169	contig_58
connector	1	contig_58
DNA, RNA and nucleotide metabolism	19	contig_58
head and packaging	11	contig_58
integration and excision	0	contig_58
lysis	2	contig_58
moron, auxiliary metabolic gene and host takeover	1	contig_58
other	5	contig_58
tail	13	contig_58
transcription regulation	0	contig_58
unknown function	117	contig_58
VFDB_Virulence_Factors	0	contig_58
CARD_AMR	0	contig_58
ACR_anti_crispr	0	contig_58
Defensefinder	0	contig_58
Netflax	0	contig_58
CDS	120	contig_644
connector	1	contig_644
DNA, RNA and nucleotide metabolism	9	contig_644
head and packaging	18	contig_644
integration and excision	0	contig_644
lysis	0	contig_644
moron, auxiliary metabolic gene and host takeover	0	contig_644
other	3	contig_644
tail	3	contig_644
transcription regulation	0	contig_644
unknown function	86	contig_644
VFDB_Virulence_Factors	0	contig_644
CARD_AMR	0	contig_644
ACR_anti_crispr	0	contig_644
Defensefinder	0	contig_644
Netflax	0	contig_644
CDS	108	contig_815
connector	2	contig_815
DNA, RNA and nucleotide metabolism	15	contig_815
head and packaging	10	contig_815
integration and excision	0	contig_815
lysis	2	contig_815
moron, auxiliary metabolic gene and host takeover	0	contig_815
other	1	contig_815
tail	3	contig_815
transcription regulation	1	contig_815
unknown function	74	contig_815
VFDB_Virulence_Factors	0	contig_815
CARD_AMR	0	contig_815
ACR_anti_crispr	0	contig_815
Defensefinder	0	contig_815
Netflax	0	contig_815
CDS	20	contig_820
connector	0	contig_820
DNA, RNA and nucleotide metabolism	0	contig_820
head and packaging	2	contig_820
integration and excision	0	contig_820
lysis	1	contig_820
moron, auxiliary metabolic gene and host takeover	0	contig_820
other	0	contig_820
tail	3	contig_820
transcription regulation	0	contig_820
unknown function	14	contig_820
VFDB_Virulence_Factors	0	contig_820
CARD_AMR	0	contig_820
ACR_anti_crispr	0	contig_820
Defensefinder	0	contig_820
Netflax	0	contig_820
