object	cluster
contig_200	contig_200
contig_601	contig_601
contig_58	contig_58
contig_644	contig_644
contig_1484	contig_1484
contig_825	contig_825
contig_1096	contig_1096
contig_267	contig_267
contig_383	contig_383
contig_184	contig_184
contig_815	contig_815
contig_1289	contig_1289
contig_434	contig_434
contig_92	contig_92
contig_133	contig_133
contig_1205	contig_1205
contig_1131	contig_1131
contig_1054	contig_1054
contig_1062	contig_1062
contig_708	contig_708
contig_1157	contig_1157
contig_596	contig_596
contig_1394	contig_1394
contig_1116	contig_1116
contig_1223	contig_1223
contig_1477	contig_1477
contig_1297	contig_1297
contig_447	contig_447
contig_1006	contig_1006
contig_123	contig_123
contig_1333	contig_1333
contig_1159	contig_1159
contig_76	contig_76
contig_424	contig_424
contig_891	contig_891
contig_1545	contig_1545
contig_1177	contig_1177
contig_1549	contig_1549
contig_519	contig_519
contig_490	contig_490
contig_1298	contig_1298
contig_1519	contig_1519
contig_1169	contig_1169
contig_473	contig_473
contig_871	contig_871
contig_1423	contig_1423
contig_260	contig_260
contig_1456	contig_1456
contig_1546	contig_1546
contig_1356	contig_1356
contig_1393	contig_1393
contig_1037	contig_1037
contig_380	contig_380
contig_316	contig_316
contig_492	contig_492
contig_437	contig_437
contig_132	contig_132
contig_553	contig_553
contig_593	contig_593
contig_854	contig_854
contig_775	contig_775
contig_929	contig_929
contig_1327	contig_1327
contig_576	contig_576
contig_1136	contig_1136
contig_1107	contig_1107
contig_213	contig_213
contig_66	contig_66
contig_543	contig_543
contig_1482	contig_1482
contig_382	contig_382
contig_1257	contig_1257
contig_734	contig_734
contig_1312	contig_1312
contig_1445	contig_1445
contig_339	contig_339
contig_215	contig_215
contig_1042	contig_1042
contig_1555	contig_1555
contig_1170	contig_1170
contig_1554	contig_1554
contig_1007	contig_1007
contig_1329	contig_1329
contig_1239	contig_1239
contig_751	contig_751
contig_1323	contig_1323
contig_1057	contig_1057
contig_1550	contig_1550
contig_1420	contig_1420
contig_856	contig_856
contig_271	contig_271
contig_1547	contig_1547
contig_531	contig_531
contig_1539	contig_1539
contig_961	contig_961
contig_99	contig_99
contig_1265	contig_1265
contig_1497	contig_1497
contig_612	contig_612
contig_421	contig_421
contig_1374	contig_1374
contig_799	contig_799
contig_939	contig_939
contig_1439	contig_1439
contig_1326	contig_1326
contig_1551	contig_1551
contig_189	contig_189
contig_536	contig_536
contig_811	contig_811
contig_1266	contig_1266
contig_511	contig_511
contig_1496	contig_1496
contig_1218	contig_1218
contig_978	contig_978
contig_1506	contig_1506
contig_632	contig_632
contig_118	contig_118
contig_342	contig_342
contig_1451	contig_1451
contig_413	contig_413
contig_1396	contig_1396
contig_110	contig_110
contig_1543	contig_1543
contig_1226	contig_1226
contig_921	contig_921
contig_1322	contig_1322
contig_1473	contig_1473
contig_23	contig_23
contig_1378	contig_1378
contig_1262	contig_1262
contig_174	contig_174
contig_598	contig_598
contig_1092	contig_1092
contig_1330	contig_1330
contig_74	contig_74
contig_1542	contig_1542
contig_138	contig_138
contig_1474	contig_1474
contig_1101	contig_1101
contig_1111	contig_1111
contig_246	contig_246
contig_185	contig_185
contig_152	contig_152
contig_268	contig_268
contig_1472	contig_1472
contig_713	contig_713
contig_779	contig_779
contig_1184	contig_1184
contig_1160	contig_1160
contig_308	contig_308
contig_1558	contig_1558
contig_1240	contig_1240
contig_256	contig_256
contig_140	contig_140
contig_105	contig_105
contig_1019	contig_1019
contig_1242	contig_1242
contig_285	contig_285
contig_1498	contig_1498
contig_344	contig_344
contig_1290	contig_1290
contig_327	contig_327
contig_646	contig_646
