object	cluster
contig_200	62
contig_601	63
contig_58	64
contig_644	0
contig_1484	65
contig_825	66
contig_1096	67
contig_267	68
contig_383	1
contig_184	69
contig_815	70
contig_1289	71
contig_434	72
contig_92	73
contig_133	74
contig_1205	75
contig_1131	76
contig_1054	77
contig_1062	78
contig_708	2
contig_1157	79
contig_596	80
contig_1394	81
contig_1116	3
contig_1223	82
contig_1477	83
contig_1297	84
contig_447	85
contig_1006	86
contig_123	4
contig_1333	87
contig_1159	88
contig_76	89
contig_424	5
contig_891	90
contig_1545	91
contig_1177	92
contig_1549	93
contig_519	94
contig_490	95
contig_1298	96
contig_1519	97
contig_1169	98
contig_473	6
contig_871	7
contig_1423	99
contig_260	100
contig_1456	101
contig_1546	102
contig_1356	103
contig_1393	104
contig_1037	105
contig_380	106
contig_316	107
contig_492	108
contig_437	109
contig_132	110
contig_553	111
contig_593	112
contig_854	113
contig_775	114
contig_929	115
contig_1327	116
contig_576	117
contig_1136	118
contig_1107	119
contig_213	120
contig_66	8
contig_543	9
contig_1482	121
contig_382	122
contig_1257	123
contig_734	10
contig_1312	124
contig_1445	125
contig_339	126
contig_215	11
contig_1042	127
contig_1555	128
contig_1170	129
contig_1554	130
contig_1007	131
contig_1329	132
contig_1239	133
contig_751	134
contig_1323	135
contig_1057	136
contig_1550	137
contig_1420	138
contig_856	139
contig_271	12
contig_1547	140
contig_531	13
contig_1539	141
contig_961	142
contig_99	143
contig_1265	144
contig_1497	145
contig_612	146
contig_421	147
contig_1374	148
contig_799	14
contig_939	149
contig_1439	150
contig_1326	151
contig_1551	152
contig_189	153
contig_536	13
contig_811	154
contig_1266	155
contig_511	15
contig_1496	156
contig_1218	157
contig_978	158
contig_1506	159
contig_632	160
contig_118	161
contig_342	162
contig_1451	163
contig_413	164
contig_1396	165
contig_110	166
contig_1543	167
contig_1226	16
contig_921	17
contig_1322	168
contig_1473	169
contig_23	170
contig_1378	171
contig_1262	172
contig_174	173
contig_598	18
contig_1092	174
contig_1330	175
contig_74	176
contig_1542	177
contig_138	178
contig_1474	179
contig_1101	180
contig_1111	181
contig_246	182
contig_185	183
contig_152	19
contig_268	184
contig_1472	185
contig_713	186
contig_779	187
contig_1184	20
contig_1160	188
contig_308	21
contig_1558	189
contig_1240	190
contig_256	191
contig_140	192
contig_105	193
contig_1019	194
contig_1242	195
contig_285	22
contig_1498	196
contig_344	197
contig_1290	198
contig_327	23
contig_646	199
contig_1198	200
contig_727	201
contig_676	202
contig_1525	203
contig_701	204
contig_1252	205
contig_522	206
contig_1119	207
contig_546	208
contig_1155	209
contig_120	210
contig_1499	211
contig_1321	212
contig_539	213
contig_839	214
contig_1552	215
contig_168	216
contig_16	24
contig_1165	217
contig_907	218
contig_139	219
contig_555	220
contig_952	221
contig_412	222
contig_515	223
contig_78	224
contig_24	225
contig_582	226
contig_416	227
contig_551	228
contig_426	229
contig_993	230
contig_614	231
contig_298	22
contig_284	232
contig_36	25
contig_974	233
contig_943	234
contig_1307	235
contig_1028	236
contig_483	237
contig_909	238
contig_1363	239
contig_1336	26
contig_1095	240
contig_669	27
contig_1134	241
contig_680	242
contig_1275	243
contig_705	244
contig_1385	245
contig_900	246
contig_658	247
contig_858	248
contig_1245	249
contig_611	250
contig_1225	251
contig_831	252
contig_572	253
contig_645	254
contig_673	1
contig_608	255
contig_1118	256
contig_1491	257
contig_1235	258
contig_5	259
contig_186	6
contig_111	260
contig_560	261
contig_1488	262
contig_861	263
contig_1281	264
contig_599	265
contig_574	266
contig_746	267
contig_81	268
contig_1210	269
contig_206	270
contig_288	271
contig_1450	272
contig_1081	16
contig_1246	273
contig_443	274
contig_1501	275
contig_481	14
contig_1453	276
contig_568	277
contig_776	278
contig_94	28
contig_990	279
contig_207	280
contig_1343	281
contig_1254	282
contig_795	283
contig_425	284
contig_101	285
contig_1034	286
contig_550	287
contig_982	288
contig_1031	289
contig_595	290
contig_1206	291
contig_18	292
contig_1163	293
contig_491	294
contig_785	295
contig_577	296
contig_461	297
contig_523	298
contig_1058	299
contig_1416	300
contig_1342	29
contig_346	301
contig_966	302
contig_480	303
contig_698	304
contig_840	305
contig_1444	306
contig_1437	307
contig_591	308
contig_1311	309
contig_1433	310
contig_1026	311
contig_493	312
contig_1485	313
contig_1351	314
contig_104	315
contig_1166	316
contig_860	317
contig_202	318
contig_130	319
contig_108	320
contig_549	321
contig_102	322
contig_945	323
contig_103	324
contig_114	30
contig_1087	325
contig_296	326
contig_983	327
contig_1479	328
contig_1175	329
contig_75	330
contig_1441	331
contig_1291	332
contig_504	333
contig_1151	334
contig_169	335
contig_1366	336
contig_96	28
contig_514	337
contig_462	338
contig_93	339
contig_1082	22
contig_1033	340
contig_1282	341
contig_1293	31
contig_1460	342
contig_1349	343
contig_1457	344
contig_1088	345
contig_109	346
contig_1358	347
contig_506	348
contig_926	349
contig_466	350
contig_400	351
contig_1382	352
contig_1148	353
contig_468	354
contig_613	355
contig_1459	356
contig_844	357
contig_264	358
contig_1544	359
contig_377	360
contig_880	361
contig_1280	362
contig_1424	363
contig_292	364
contig_763	365
contig_812	366
contig_388	367
contig_1104	368
contig_1201	369
contig_90	370
contig_464	371
contig_1199	372
contig_1317	373
contig_501	374
contig_1509	375
contig_1301	376
contig_395	377
contig_946	378
contig_304	379
contig_343	380
contig_1021	381
contig_1079	382
contig_1360	383
contig_683	384
contig_89	385
contig_557	386
contig_910	387
contig_1272	388
contig_1391	22
contig_1407	389
contig_654	390
contig_398	391
contig_977	32
contig_897	392
contig_1010	393
contig_98	394
contig_791	395
contig_1467	396
contig_9	397
contig_731	398
contig_1191	399
contig_257	400
contig_1529	401
contig_766	402
contig_972	33
contig_969	403
contig_720	404
contig_253	405
contig_1268	406
contig_633	407
contig_1331	408
contig_1438	409
contig_1097	410
contig_1417	411
contig_1384	412
contig_1442	413
contig_1215	414
contig_6	34
contig_199	415
contig_428	416
contig_1303	417
contig_1024	418
contig_1469	419
contig_266	420
contig_573	421
contig_286	422
contig_1271	423
contig_1040	424
contig_986	425
contig_1080	426
contig_438	427
contig_1207	428
contig_1449	429
contig_959	430
contig_584	431
contig_265	432
contig_696	433
contig_1408	434
contig_780	435
contig_996	436
contig_274	12
contig_865	7
contig_901	437
contig_1302	438
contig_188	439
contig_558	440
contig_718	441
contig_469	442
contig_1435	443
contig_1274	444
contig_911	445
contig_659	446
contig_60	447
contig_1153	448
contig_1493	449
contig_1161	450
contig_1236	22
contig_225	451
contig_1455	452
contig_1446	453
contig_1020	454
contig_283	455
contig_1353	456
contig_528	35
contig_699	457
contig_852	458
contig_820	36
contig_826	459
contig_653	460
contig_1341	29
contig_222	461
contig_1115	3
contig_302	462
contig_1048	463
contig_1212	464
contig_1388	465
contig_835	466
contig_1214	467
contig_1055	468
contig_953	469
contig_1046	470
contig_979	37
contig_384	1
contig_1273	471
contig_303	472
contig_91	473
contig_597	474
contig_1422	475
contig_1458	476
contig_401	477
contig_684	478
contig_488	479
contig_83	480
