#seq_name	length	coverage
contig_1	5137	3
contig_100	4444	5
contig_102	3872	4
contig_103	12463	3
contig_104	14807	3
contig_105	5726	4
contig_106	15194	7
contig_107	15946	5
contig_108	42520	8
contig_109	4420	4
contig_11	2854	4
contig_110	29014	3
contig_111	3031	3
contig_112	9452	7
contig_113	13197	3
contig_114	12069	3
contig_115	14325	5
contig_116	32816	5
contig_117	15135	6
contig_118	27589	4
contig_119	38857	3
contig_12	11210	7
contig_121	15799	4
contig_122	17481	5
contig_123	24248	3
contig_124	14413	3
contig_13	24889	3
contig_131	3033	8
contig_132	13697	11
contig_133	3351	6
contig_134	13847	7
contig_135	17621	3
contig_136	42618	4
contig_137	8167	7
contig_138	52146	7
contig_139	3344	4
contig_14	36172	5
contig_140	30485	9
contig_141	23388	3
contig_142	25654	7
contig_143	47144	10
contig_144	14873	11
contig_145	40825	6
contig_146	35934	5
contig_148	3186	6
contig_149	2522	22
contig_15	56299	6
contig_150	844	11
contig_151	20141	4
contig_152	59884	10
contig_155	8141	7
contig_156	12555	4
contig_157	32601	3
contig_158	14774	5
contig_159	14218	6
contig_160	15887	3
contig_161	31478	5
contig_162	14281	4
contig_163	6719	3
contig_164	3232	5
contig_165	16440	3
contig_166	3557	3
contig_167	15333	4
contig_168	4656	3
contig_169	13415	6
contig_17	9096	5
contig_170	3940	4
contig_171	9645	3
contig_172	4698	3
contig_173	2360	6
contig_174	33142	4
contig_175	14460	3
contig_176	4859	4
contig_177	9095	4
contig_178	44222	3
contig_179	3132	5
contig_18	13877	3
contig_180	754	7
contig_182	16471	3
contig_184	6266	4
contig_185	31700	4
contig_188	11633	3
contig_189	17247	5
contig_19	4422	5
contig_190	16102	4
contig_191	11874	4
contig_193	24307	3
contig_194	34890	4
contig_195	4827	3
contig_197	26042	3
contig_198	17186	8
contig_199	13355	3
contig_2	19791	8
contig_20	3815	3
contig_200	14822	7
contig_201	20327	6
contig_202	31810	6
contig_203	2613	3
contig_204	22917	4
contig_205	15382	3
contig_207	17921	3
contig_208	27990	7
contig_209	7719	7
contig_21	85036	5
contig_210	38497	4
contig_211	12365	6
contig_212	27263	7
contig_213	26560	5
contig_214	5178	3
contig_215	23111	5
contig_216	16647	5
contig_217	14532	3
contig_218	8595	4
contig_219	6635	3
contig_220	10492	3
contig_221	13984	5
contig_222	5352	3
contig_223	6796	4
contig_224	39769	6
contig_225	2609	4
contig_226	2362	16
contig_227	16260	4
contig_228	3448	3
contig_229	14902	3
contig_23	38474	4
contig_230	37794	4
contig_231	14765	4
contig_232	16388	3
contig_233	11208	3
contig_235	36488	6
contig_236	33104	3
contig_237	35347	4
contig_238	7042	6
contig_239	10962	3
contig_24	5079	10
contig_240	34833	5
contig_241	16776	3
contig_242	66900	11
contig_243	7088	3
contig_244	40349	4
contig_245	38704	6
contig_246	42933	7
contig_247	30044	4
contig_248	9368	3
contig_25	10031	3
contig_250	42360	8
contig_251	15606	4
contig_252	12346	5
contig_253	9801	3
contig_26	41785	6
contig_27	35951	8
contig_28	15251	3
contig_29	9514	7
contig_3	31417	11
contig_30	2562	3
contig_31	36744	3
contig_32	37876	3
contig_33	6780	3
contig_34	14526	5
contig_35	43055	4
contig_36	16042	3
contig_37	21990	3
contig_38	13098	8
contig_39	17410	6
contig_40	5357	4
contig_41	15709	4
contig_42	5271	6
contig_43	16908	10
contig_44	12203	5
contig_45	8706	7
contig_46	14439	11
contig_47	2801	7
contig_48	36985	4
contig_51	7081	6
contig_52	18549	10
contig_53	18581	5
contig_54	4433	6
contig_55	37741	3
contig_56	28174	6
contig_57	11171	3
contig_58	10035	3
contig_59	37843	4
contig_60	17714	8
contig_61	27907	6
contig_62	30594	5
contig_63	14368	12
contig_64	38994	8
contig_65	8261	5
contig_66	2413	4
contig_67	5809	7
contig_68	15092	8
contig_69	13177	3
contig_7	36891	12
contig_70	9622	4
contig_71	6074	4
contig_72	4580	3
contig_73	12796	4
contig_74	23855	9
contig_75	16986	5
contig_76	25330	3
contig_8	1821	6
contig_82	1762	3
contig_84	15239	4
contig_85	24248	4
contig_86	3876	7
contig_87	6048	7
contig_88	58961	4
contig_89	26405	3
contig_90	41761	3
contig_93	19300	4
contig_95	29423	7
contig_97	14400	5
