object	cluster
contig_200	1
contig_601	2
contig_58	3
contig_644	4
contig_1484	5
contig_825	6
contig_1096	7
contig_267	8
contig_383	9
contig_184	10
contig_815	11
contig_1289	12
contig_434	13
contig_92	14
contig_133	15
contig_1205	16
contig_1131	17
contig_1054	18
contig_1062	19
contig_708	20
contig_1157	21
contig_596	22
contig_1394	23
contig_1116	24
contig_1223	25
contig_1477	26
contig_1297	27
contig_447	28
contig_1006	29
contig_123	30
contig_1333	31
contig_1159	32
contig_76	33
contig_424	34
contig_891	35
contig_1545	36
contig_1177	37
contig_1549	38
contig_519	39
contig_490	40
contig_1298	41
contig_1519	42
contig_1169	43
contig_473	44
contig_871	45
contig_1423	46
contig_260	47
contig_1456	48
contig_1546	49
contig_1356	50
contig_1393	51
contig_1037	52
contig_380	53
contig_316	54
contig_492	55
contig_437	56
contig_132	57
contig_553	58
contig_593	59
contig_854	60
contig_775	61
contig_929	62
contig_1327	63
contig_576	64
contig_1136	65
contig_1107	66
contig_213	67
contig_66	68
contig_543	69
contig_1482	70
contig_382	71
contig_1257	72
contig_734	73
contig_1312	74
contig_1445	75
contig_339	76
contig_215	77
contig_1042	78
contig_1555	79
contig_1170	80
contig_1554	81
contig_1007	82
contig_1329	83
contig_1239	84
contig_751	85
contig_1323	86
contig_1057	87
contig_1550	88
contig_1420	89
contig_856	90
contig_271	91
contig_1547	92
contig_531	93
contig_1539	94
contig_961	95
contig_99	96
contig_1265	97
contig_1497	98
contig_612	99
contig_421	100
contig_1374	101
contig_799	102
contig_939	103
contig_1439	104
contig_1326	105
contig_1551	106
contig_189	107
contig_536	108
contig_811	109
contig_1266	110
contig_511	111
contig_1496	112
contig_1218	113
contig_978	114
contig_1506	115
contig_632	116
contig_118	117
contig_342	118
contig_1451	119
contig_413	120
contig_1396	121
contig_110	122
contig_1543	123
contig_1226	124
contig_921	125
contig_1322	126
contig_1473	127
contig_23	128
contig_1378	129
contig_1262	130
contig_174	131
contig_598	132
contig_1092	133
contig_1330	134
contig_74	135
contig_1542	136
contig_138	137
contig_1474	138
contig_1101	139
contig_1111	140
contig_246	141
contig_185	142
contig_152	143
contig_268	144
contig_1472	145
contig_713	146
contig_779	147
contig_1184	148
contig_1160	149
contig_308	150
contig_1558	151
contig_1240	152
contig_256	153
contig_140	154
contig_105	155
contig_1019	156
contig_1242	157
contig_285	158
contig_1498	159
contig_344	160
contig_1290	161
contig_327	162
contig_646	163
contig_1198	164
contig_727	165
contig_676	166
contig_1525	167
contig_701	168
contig_1252	169
contig_522	170
contig_1119	171
contig_546	172
contig_1155	173
contig_120	174
contig_1499	175
contig_1321	176
contig_539	177
contig_839	178
contig_1552	179
contig_168	180
contig_16	181
contig_1165	182
contig_907	183
contig_139	184
contig_555	185
contig_952	186
contig_412	187
contig_515	188
contig_78	189
contig_24	190
contig_582	191
contig_416	192
contig_551	193
contig_426	194
contig_993	195
contig_614	196
contig_298	197
contig_284	198
contig_36	199
contig_974	200
contig_943	201
contig_1307	202
contig_1028	203
contig_483	204
contig_909	205
contig_1363	206
contig_1336	207
contig_1095	208
contig_669	209
contig_1134	210
contig_680	211
contig_1275	212
contig_705	213
contig_1385	214
contig_900	215
contig_658	216
contig_858	217
contig_1245	218
contig_611	219
contig_1225	220
contig_831	221
contig_572	222
contig_645	223
contig_673	224
contig_608	225
contig_1118	226
contig_1491	227
contig_1235	228
contig_5	229
contig_186	230
contig_111	231
contig_560	232
contig_1488	233
contig_861	234
contig_1281	235
contig_599	236
contig_574	237
contig_746	238
contig_81	239
contig_1210	240
contig_206	241
contig_288	242
contig_1450	243
contig_1081	244
contig_1246	245
contig_443	246
contig_1501	247
contig_481	248
contig_1453	249
contig_568	250
contig_776	251
contig_94	252
contig_990	253
contig_207	254
contig_1343	255
contig_1254	256
contig_795	257
contig_425	258
contig_101	259
contig_1034	260
contig_550	261
contig_982	262
contig_1031	263
contig_595	264
contig_1206	265
contig_18	266
contig_1163	267
contig_491	268
contig_785	269
contig_577	270
contig_461	271
contig_523	272
contig_1058	273
contig_1416	274
contig_1342	275
contig_346	276
contig_966	277
contig_480	278
contig_698	279
contig_840	280
contig_1444	281
contig_1437	282
contig_591	283
contig_1311	284
contig_1433	285
contig_1026	286
contig_493	287
contig_1485	288
contig_1351	289
contig_104	290
contig_1166	291
contig_860	292
contig_202	293
contig_130	294
contig_108	295
contig_549	296
contig_102	297
contig_945	298
contig_103	299
contig_114	300
contig_1087	301
contig_296	302
contig_983	303
contig_1479	304
contig_1175	305
contig_75	306
contig_1441	307
contig_1291	308
contig_504	309
contig_1151	310
contig_169	311
contig_1366	312
contig_96	313
contig_514	314
contig_462	315
contig_93	316
contig_1082	317
contig_1033	318
contig_1282	319
contig_1293	320
contig_1460	321
contig_1349	322
contig_1457	323
contig_1088	324
contig_109	325
contig_1358	326
contig_506	327
contig_926	328
contig_466	329
contig_400	330
contig_1382	331
contig_1148	332
contig_468	333
contig_613	334
contig_1459	335
contig_844	336
contig_264	337
contig_1544	338
contig_377	339
contig_880	340
contig_1280	341
contig_1424	342
contig_292	343
contig_763	344
contig_812	345
contig_388	346
contig_1104	347
contig_1201	348
contig_90	349
contig_464	350
contig_1199	351
contig_1317	352
contig_501	353
contig_1509	354
contig_1301	355
contig_395	356
contig_946	357
contig_304	358
contig_343	359
contig_1021	360
contig_1079	361
contig_1360	362
contig_683	363
contig_89	364
contig_557	365
contig_910	366
contig_1272	367
contig_1391	368
contig_1407	369
contig_654	370
contig_398	371
contig_977	372
contig_897	373
contig_1010	374
contig_98	375
contig_791	376
contig_1467	377
contig_9	378
contig_731	379
contig_1191	380
contig_257	381
contig_1529	382
contig_766	383
contig_972	384
contig_969	385
contig_720	386
contig_253	387
contig_1268	388
contig_633	389
contig_1331	390
contig_1438	391
contig_1097	392
contig_1417	393
contig_1384	394
contig_1442	395
contig_1215	396
contig_6	397
contig_199	398
contig_428	399
contig_1303	400
contig_1024	401
contig_1469	402
contig_266	403
contig_573	404
contig_286	405
contig_1271	406
contig_1040	407
contig_986	408
contig_1080	409
contig_438	410
contig_1207	411
contig_1449	412
contig_959	413
contig_584	414
contig_265	415
contig_696	416
contig_1408	417
contig_780	418
contig_996	419
contig_274	420
contig_865	421
contig_901	422
contig_1302	423
contig_188	424
contig_558	425
contig_718	426
contig_469	427
contig_1435	428
contig_1274	429
contig_911	430
contig_659	431
contig_60	432
contig_1153	433
contig_1493	434
contig_1161	435
contig_1236	436
contig_225	437
contig_1455	438
contig_1446	439
contig_1020	440
contig_283	441
contig_1353	442
contig_528	443
contig_699	444
contig_852	445
contig_820	446
contig_826	447
contig_653	448
contig_1341	449
contig_222	450
contig_1115	451
contig_302	452
contig_1048	453
contig_1212	454
contig_1388	455
contig_835	456
contig_1214	457
contig_1055	458
contig_953	459
contig_1046	460
contig_979	461
contig_384	462
contig_1273	463
contig_303	464
contig_91	465
contig_597	466
contig_1422	467
contig_1458	468
contig_401	469
contig_684	470
contig_488	471
contig_83	472
contig_566	473
contig_7	474
contig_38	475
contig_1432	476
contig_1154	477
contig_389	478
contig_305	479
contig_297	480
contig_1099	481
contig_1032	482
contig_881	483
contig_973	484
contig_940	485
contig_863	486
contig_755	487
contig_1398	488
contig_1052	489
contig_1164	490
contig_650	491
contig_1069	492
contig_1344	493
contig_381	494
contig_417	495
contig_465	496
contig_758	497
contig_989	498
contig_352	499
contig_32	500
contig_1162	501
contig_1247	502
contig_508	503
contig_704	504
contig_671	505
contig_442	506
contig_1415	507
contig_899	508
contig_998	509
contig_385	510
contig_487	511
contig_1318	512
contig_1510	513
contig_485	514
contig_209	515
contig_789	516
contig_764	517
contig_719	518
contig_1089	519
contig_124	520
contig_692	521
contig_1084	522
contig_816	523
contig_1559	524
contig_643	525
contig_962	526
contig_1064	527
contig_1083	528
contig_670	529
contig_788	530
contig_1518	531
contig_375	532
contig_1243	533
contig_1059	534
contig_703	535
contig_1038	536
contig_824	537
contig_728	538
contig_1229	539
contig_1359	540
contig_507	541
contig_642	542
contig_270	543
contig_1248	544
contig_1504	545
contig_1249	546
contig_1369	547
contig_960	548
contig_587	549
contig_20	550
contig_925	551
contig_393	552
contig_594	553
contig_1386	554
contig_399	555
contig_1354	556
contig_656	557
contig_429	558
contig_373	559
contig_862	560
contig_183	561
contig_628	562
contig_556	563
contig_1476	564
contig_942	565
contig_1156	566
contig_122	567
contig_63	568
contig_1379	569
contig_819	570
contig_1478	571
contig_392	572
contig_1065	573
contig_1461	574
contig_420	575
contig_583	576
contig_749	577
contig_928	578
contig_1429	579
contig_1320	580
contig_463	581
contig_1221	582
contig_1228	583
contig_540	584
contig_250	585
contig_1015	586
contig_898	587
contig_345	588
contig_170	589
contig_254	590
contig_797	591
contig_1350	592
contig_735	593
contig_41	594
contig_1454	595
contig_1086	596
contig_896	597
contig_82	598
contig_1315	599
contig_1402	600
contig_243	601
contig_394	602
contig_672	603
contig_836	604
contig_559	605
contig_787	606
contig_1430	607
contig_726	608
contig_1141	609
contig_1466	610
contig_849	611
contig_807	612
contig_814	613
contig_827	614
contig_850	615
contig_1470	616
contig_530	617
contig_1505	618
contig_600	619
contig_1140	620
contig_1515	621
contig_636	622
contig_547	623
contig_1421	624
contig_347	625
contig_65	626
contig_55	627
contig_908	628
contig_1204	629
contig_890	630
contig_39	631
contig_1051	632
contig_739	633
contig_752	634
contig_1483	635
contig_729	636
contig_521	637
contig_1022	638
contig_615	639
contig_1029	640
contig_192	641
contig_848	642
contig_1110	643
contig_813	644
contig_774	645
contig_376	646
contig_957	647
contig_117	648
contig_112	649
contig_1447	650
contig_457	651
contig_1296	652
contig_173	653
contig_50	654
contig_736	655
contig_197	656
contig_765	657
contig_733	658
contig_2	659
contig_1371	660
contig_70	661
contig_851	662
contig_1098	663
contig_1103	664
contig_119	665
contig_1516	666
contig_700	667
contig_1144	668
contig_77	669
contig_664	670
contig_971	671
contig_1067	672
contig_757	673
contig_579	674
contig_590	675
contig_249	676
contig_817	677
contig_1553	678
contig_1011	679
contig_747	680
contig_702	681
contig_348	682
contig_37	683
contig_1263	684
contig_49	685
contig_1532	686
contig_1367	687
contig_529	688
contig_805	689
contig_806	690
contig_981	691
contig_71	692
contig_208	693
contig_888	694
contig_1036	695
contig_679	696
contig_1361	697
contig_1523	698
contig_1027	699
contig_1139	700
contig_1189	701
contig_793	702
contig_552	703
contig_68	704
contig_1348	705
contig_13	706
contig_950	707
contig_403	708
contig_677	709
contig_64	710
contig_436	711
contig_638	712
contig_919	713
contig_503	714
contig_992	715
contig_1556	716
contig_1537	717
contig_1475	718
contig_786	719
contig_1129	720
contig_415	721
contig_113	722
contig_1061	723
contig_125	724
contig_562	725
contig_387	726
contig_51	727
contig_1196	728
contig_1285	729
contig_1102	730
contig_538	731
contig_792	732
contig_204	733
contig_1114	734
contig_1176	735
contig_79	736
contig_233	737
contig_663	738
contig_134	739
contig_445	740
contig_1419	741
contig_1560	742
contig_214	743
contig_781	744
contig_1494	745
contig_1468	746
contig_1319	747
contig_1395	748
contig_1017	749
contig_1440	750
contig_1250	751
contig_455	752
contig_808	753
contig_1527	754
contig_1335	755
contig_1528	756
contig_1016	757
contig_1270	758
contig_69	759
contig_1368	760
contig_833	761
contig_1299	762
contig_782	763
contig_874	764
contig_1383	765
contig_1332	766
contig_1557	767
contig_963	768
contig_281	769
contig_1357	770
contig_1012	771
contig_706	772
contig_237	773
contig_1492	774
contig_396	775
contig_864	776
contig_1146	777
contig_607	778
contig_236	779
contig_252	780
contig_353	781
contig_1345	782
contig_887	783
contig_62	784
contig_235	785
contig_796	786
contig_1066	787
contig_1241	788
contig_1418	789
contig_234	790
contig_714	791
contig_724	792
contig_198	793
contig_456	794
contig_617	795
contig_1050	796
contig_941	797
contig_987	798
contig_439	799
contig_489	800
contig_418	801
contig_855	802
contig_220	803
contig_1106	804
