Description	Count	contig
CDS	88	contig_101
connector	0	contig_101
DNA, RNA and nucleotide metabolism	4	contig_101
head and packaging	5	contig_101
integration and excision	0	contig_101
lysis	0	contig_101
moron, auxiliary metabolic gene and host takeover	0	contig_101
other	2	contig_101
tail	0	contig_101
transcription regulation	0	contig_101
unknown function	77	contig_101
tRNAs	0	contig_101
CRISPRs	0	contig_101
tmRNAs	0	contig_101
VFDB_Virulence_Factors	0	contig_101
CARD_AMR_Genes	0	contig_101
CDS	33	contig_1015
connector	0	contig_1015
DNA, RNA and nucleotide metabolism	5	contig_1015
head and packaging	0	contig_1015
integration and excision	0	contig_1015
lysis	1	contig_1015
moron, auxiliary metabolic gene and host takeover	0	contig_1015
other	0	contig_1015
tail	0	contig_1015
transcription regulation	0	contig_1015
unknown function	27	contig_1015
tRNAs	0	contig_1015
CRISPRs	0	contig_1015
tmRNAs	0	contig_1015
VFDB_Virulence_Factors	0	contig_1015
CARD_AMR_Genes	0	contig_1015
CDS	109	contig_1019
connector	0	contig_1019
DNA, RNA and nucleotide metabolism	8	contig_1019
head and packaging	1	contig_1019
integration and excision	0	contig_1019
lysis	0	contig_1019
moron, auxiliary metabolic gene and host takeover	0	contig_1019
other	0	contig_1019
tail	0	contig_1019
transcription regulation	0	contig_1019
unknown function	100	contig_1019
tRNAs	0	contig_1019
CRISPRs	0	contig_1019
tmRNAs	0	contig_1019
VFDB_Virulence_Factors	0	contig_1019
CARD_AMR_Genes	0	contig_1019
CDS	62	contig_1021
connector	0	contig_1021
DNA, RNA and nucleotide metabolism	0	contig_1021
head and packaging	4	contig_1021
integration and excision	0	contig_1021
lysis	0	contig_1021
moron, auxiliary metabolic gene and host takeover	0	contig_1021
other	0	contig_1021
tail	1	contig_1021
transcription regulation	0	contig_1021
unknown function	57	contig_1021
tRNAs	0	contig_1021
CRISPRs	0	contig_1021
tmRNAs	0	contig_1021
VFDB_Virulence_Factors	0	contig_1021
CARD_AMR_Genes	0	contig_1021
CDS	59	contig_1024
connector	0	contig_1024
DNA, RNA and nucleotide metabolism	2	contig_1024
head and packaging	4	contig_1024
integration and excision	0	contig_1024
lysis	0	contig_1024
moron, auxiliary metabolic gene and host takeover	0	contig_1024
other	0	contig_1024
tail	3	contig_1024
transcription regulation	0	contig_1024
unknown function	50	contig_1024
tRNAs	0	contig_1024
CRISPRs	0	contig_1024
tmRNAs	0	contig_1024
VFDB_Virulence_Factors	0	contig_1024
CARD_AMR_Genes	0	contig_1024
CDS	35	contig_103
connector	1	contig_103
DNA, RNA and nucleotide metabolism	3	contig_103
head and packaging	6	contig_103
integration and excision	0	contig_103
lysis	0	contig_103
moron, auxiliary metabolic gene and host takeover	0	contig_103
other	0	contig_103
tail	0	contig_103
transcription regulation	0	contig_103
unknown function	25	contig_103
tRNAs	0	contig_103
CRISPRs	0	contig_103
tmRNAs	0	contig_103
VFDB_Virulence_Factors	0	contig_103
CARD_AMR_Genes	0	contig_103
CDS	44	contig_1033
connector	2	contig_1033
DNA, RNA and nucleotide metabolism	3	contig_1033
head and packaging	6	contig_1033
integration and excision	0	contig_1033
lysis	0	contig_1033
moron, auxiliary metabolic gene and host takeover	0	contig_1033
other	0	contig_1033
tail	0	contig_1033
transcription regulation	0	contig_1033
unknown function	33	contig_1033
tRNAs	0	contig_1033
CRISPRs	0	contig_1033
tmRNAs	0	contig_1033
VFDB_Virulence_Factors	0	contig_1033
CARD_AMR_Genes	0	contig_1033
CDS	114	contig_1037
connector	0	contig_1037
DNA, RNA and nucleotide metabolism	6	contig_1037
head and packaging	5	contig_1037
integration and excision	0	contig_1037
lysis	1	contig_1037
moron, auxiliary metabolic gene and host takeover	0	contig_1037
other	0	contig_1037
tail	0	contig_1037
transcription regulation	0	contig_1037
unknown function	102	contig_1037
tRNAs	0	contig_1037
CRISPRs	0	contig_1037
tmRNAs	0	contig_1037
VFDB_Virulence_Factors	0	contig_1037
CARD_AMR_Genes	0	contig_1037
CDS	41	contig_104
connector	2	contig_104
DNA, RNA and nucleotide metabolism	3	contig_104
head and packaging	5	contig_104
integration and excision	0	contig_104
lysis	0	contig_104
moron, auxiliary metabolic gene and host takeover	0	contig_104
other	0	contig_104
tail	0	contig_104
transcription regulation	0	contig_104
unknown function	31	contig_104
tRNAs	0	contig_104
CRISPRs	0	contig_104
tmRNAs	0	contig_104
VFDB_Virulence_Factors	0	contig_104
CARD_AMR_Genes	0	contig_104
CDS	55	contig_1040
connector	0	contig_1040
DNA, RNA and nucleotide metabolism	1	contig_1040
head and packaging	2	contig_1040
integration and excision	0	contig_1040
lysis	0	contig_1040
moron, auxiliary metabolic gene and host takeover	0	contig_1040
other	0	contig_1040
tail	0	contig_1040
transcription regulation	0	contig_1040
unknown function	52	contig_1040
tRNAs	0	contig_1040
CRISPRs	0	contig_1040
tmRNAs	0	contig_1040
VFDB_Virulence_Factors	0	contig_1040
CARD_AMR_Genes	0	contig_1040
CDS	97	contig_1042
connector	0	contig_1042
DNA, RNA and nucleotide metabolism	6	contig_1042
head and packaging	5	contig_1042
integration and excision	1	contig_1042
lysis	0	contig_1042
moron, auxiliary metabolic gene and host takeover	0	contig_1042
other	3	contig_1042
tail	2	contig_1042
transcription regulation	1	contig_1042
unknown function	79	contig_1042
tRNAs	0	contig_1042
CRISPRs	0	contig_1042
tmRNAs	0	contig_1042
VFDB_Virulence_Factors	0	contig_1042
CARD_AMR_Genes	0	contig_1042
CDS	36	contig_1046
connector	0	contig_1046
DNA, RNA and nucleotide metabolism	0	contig_1046
head and packaging	5	contig_1046
integration and excision	0	contig_1046
lysis	0	contig_1046
moron, auxiliary metabolic gene and host takeover	0	contig_1046
other	0	contig_1046
tail	2	contig_1046
transcription regulation	0	contig_1046
unknown function	29	contig_1046
tRNAs	0	contig_1046
CRISPRs	0	contig_1046
tmRNAs	0	contig_1046
VFDB_Virulence_Factors	0	contig_1046
CARD_AMR_Genes	0	contig_1046
CDS	37	contig_1048
connector	0	contig_1048
DNA, RNA and nucleotide metabolism	0	contig_1048
head and packaging	4	contig_1048
integration and excision	0	contig_1048
lysis	0	contig_1048
moron, auxiliary metabolic gene and host takeover	0	contig_1048
other	0	contig_1048
tail	0	contig_1048
transcription regulation	0	contig_1048
unknown function	33	contig_1048
tRNAs	0	contig_1048
CRISPRs	0	contig_1048
tmRNAs	0	contig_1048
VFDB_Virulence_Factors	0	contig_1048
CARD_AMR_Genes	0	contig_1048
CDS	86	contig_105
connector	0	contig_105
DNA, RNA and nucleotide metabolism	5	contig_105
head and packaging	7	contig_105
integration and excision	0	contig_105
lysis	1	contig_105
moron, auxiliary metabolic gene and host takeover	0	contig_105
other	4	contig_105
tail	1	contig_105
transcription regulation	0	contig_105
unknown function	68	contig_105
tRNAs	0	contig_105
CRISPRs	0	contig_105
tmRNAs	0	contig_105
VFDB_Virulence_Factors	0	contig_105
CARD_AMR_Genes	0	contig_105
CDS	195	contig_1054
connector	2	contig_1054
DNA, RNA and nucleotide metabolism	13	contig_1054
head and packaging	3	contig_1054
integration and excision	0	contig_1054
lysis	1	contig_1054
moron, auxiliary metabolic gene and host takeover	0	contig_1054
other	6	contig_1054
tail	0	contig_1054
transcription regulation	2	contig_1054
unknown function	168	contig_1054
tRNAs	0	contig_1054
CRISPRs	0	contig_1054
tmRNAs	0	contig_1054
VFDB_Virulence_Factors	0	contig_1054
CARD_AMR_Genes	0	contig_1054
CDS	155	contig_1057
connector	0	contig_1057
DNA, RNA and nucleotide metabolism	4	contig_1057
head and packaging	7	contig_1057
integration and excision	0	contig_1057
