contig	length	gc_perc	transl_table	cds_coding_density
contig_114	16419	0.58	11	90.96
contig_1393	38768	0.45	11	85.93
contig_1160	30024	0.55	11	90.27
contig_103	16445	0.6	11	93.48
contig_185	31011	0.59	11	86.69
contig_1169	39797	0.54	11	91.12
contig_200	109562	0.41	11	90.87
contig_92	54599	0.43	11	89.86
contig_1460	15850	0.5	11	78.95
contig_1552	26758	0.32	11	83.21
contig_1439	34481	0.58	11	93.41
contig_1323	35894	0.59	11	91.66
contig_1433	16900	0.66	11	95.66
contig_1033	15904	0.59	11	96.06
contig_1554	36349	0.39	11	93.41
contig_1547	35347	0.34	11	89.32
contig_58	85038	0.42	11	91.32
contig_256	29740	0.39	11	72.15
contig_601	85375	0.4	11	94.3
contig_825	67695	0.46	11	87.39
contig_1096	65151	0.58	11	86.67
contig_644	72339	0.5	11	87.33
contig_1131	51372	0.36	11	89.22
contig_1298	40164	0.43	11	92.52
contig_669	23164	0.41	11	83.24
contig_1545	41551	0.6	11	90.52
contig_815	56870	0.59	11	91.09
contig_1062	50552	0.37	11	81.7
contig_1170	36365	0.54	11	88.27
contig_267	62774	0.28	11	72.07
