contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
contig_1	2568	No	NA	5	2	0	Low-quality	Genome-fragment	5.3	AAI-based (medium-confidence)	0.0	1.0	
contig_1002	1736	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1003	1842	No	NA	4	0	0	Low-quality	Genome-fragment	12.87	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1004	2316	No	NA	5	1	0	Low-quality	Genome-fragment	0.92	HMM-based (lower-bound)	0.0	1.0	
contig_1005	2675	No	NA	6	4	0	Low-quality	Genome-fragment	7.39	AAI-based (high-confidence)	0.0	1.0	
contig_1006	43357	No	NA	58	9	0	Low-quality	Genome-fragment	46.86	HMM-based (lower-bound)	0.0	1.0	
contig_1007	36319	No	NA	84	21	0	Low-quality	Genome-fragment	48.82	HMM-based (lower-bound)	0.0	1.0	
contig_1008	2228	No	NA	4	0	0	Low-quality	Genome-fragment	6.65	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1009	2645	No	NA	6	1	0	Low-quality	Genome-fragment	4.42	AAI-based (medium-confidence)	0.0	1.0	
contig_101	18777	No	NA	34	8	0	Medium-quality	Genome-fragment	50.45	AAI-based (high-confidence)	0.0	1.0	
contig_1010	14766	No	NA	26	4	0	Low-quality	Genome-fragment	38.84	AAI-based (medium-confidence)	0.0	1.0	
contig_1011	7212	No	NA	11	3	0	Low-quality	Genome-fragment	12.51	HMM-based (lower-bound)	0.0	1.0	
contig_1012	5344	No	NA	13	1	0	Low-quality	Genome-fragment	9.61	HMM-based (lower-bound)	0.0	1.0	
contig_1013	3407	No	NA	5	0	0	Low-quality	Genome-fragment	18.86	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1015	9475	No	NA	16	1	0	Medium-quality	Genome-fragment	52.44	AAI-based (high-confidence)	0.0	1.0	
contig_1016	5614	No	NA	14	6	0	Low-quality	Genome-fragment	30.84	AAI-based (high-confidence)	0.0	1.0	
contig_1017	5706	No	NA	11	6	0	Low-quality	Genome-fragment	31.33	AAI-based (high-confidence)	0.0	1.0	
contig_1019	29669	No	NA	49	7	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_102	16498	No	NA	25	0	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
contig_1020	13312	No	NA	23	6	0	Low-quality	Genome-fragment	14.38	HMM-based (lower-bound)	0.0	1.0	
contig_1021	15099	No	NA	28	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
contig_1022	8047	No	NA	17	7	0	Low-quality	Genome-fragment	22.02	AAI-based (medium-confidence)	0.0	1.0	
contig_1023	2687	No	NA	4	1	0	Low-quality	Genome-fragment	1.71	HMM-based (lower-bound)	0.0	1.0	
contig_1024	14400	No	NA	32	5	0	High-quality	High-quality	97.12	AAI-based (medium-confidence)	0.0	1.0	
contig_1025	2302	No	NA	4	1	0	Low-quality	Genome-fragment	1.21	HMM-based (lower-bound)	0.0	1.0	
contig_1026	16895	No	NA	31	10	0	Low-quality	Genome-fragment	24.12	HMM-based (lower-bound)	0.0	1.0	
contig_1027	6838	No	NA	10	1	0	Low-quality	Genome-fragment	6.13	AAI-based (medium-confidence)	0.0	1.01	
contig_1028	23869	No	NA	47	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1029	8033	No	NA	12	5	0	Low-quality	Genome-fragment	23.54	AAI-based (high-confidence)	0.0	1.0	
contig_103	16445	No	NA	27	6	0	High-quality	High-quality	94.46	AAI-based (medium-confidence)	0.0	1.0	
contig_1030	2846	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1031	18289	No	NA	40	2	0	Low-quality	Genome-fragment	15.34	HMM-based (lower-bound)	0.0	1.0	
contig_1032	12196	No	NA	17	7	0	Low-quality	Genome-fragment	33.1	AAI-based (high-confidence)	0.0	1.0	
contig_1033	15904	No	NA	31	9	0	High-quality	High-quality	92.72	AAI-based (medium-confidence)	0.0	1.0	
contig_1034	18402	No	NA	44	7	0	Low-quality	Genome-fragment	16.85	HMM-based (lower-bound)	0.0	1.02	
contig_1035	4478	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1036	6924	No	NA	10	1	0	Low-quality	Genome-fragment	10.85	HMM-based (lower-bound)	0.0	1.0	
contig_1037	38696	No	NA	66	2	0	Medium-quality	Genome-fragment	58.33	HMM-based (lower-bound)	0.0	1.0	
contig_1038	10788	No	NA	23	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_104	16758	No	NA	28	9	0	High-quality	High-quality	97.46	AAI-based (medium-confidence)	0.0	1.0	
contig_1040	14240	No	NA	24	2	0	High-quality	High-quality	98.94	AAI-based (medium-confidence)	0.0	1.0	
contig_1041	2357	No	NA	4	1	0	Low-quality	Genome-fragment	5.25	HMM-based (lower-bound)	0.0	1.0	
contig_1042	36454	No	NA	64	11	0	Medium-quality	Genome-fragment	88.9	AAI-based (medium-confidence)	0.0	1.0	
contig_1045	3312	No	NA	5	2	0	Low-quality	Genome-fragment	7.55	AAI-based (medium-confidence)	0.0	1.0	
contig_1046	12857	No	NA	22	5	0	Medium-quality	Genome-fragment	76.82	AAI-based (high-confidence)	0.0	1.0	
contig_1047	3494	No	NA	5	1	0	Low-quality	Genome-fragment	4.62	HMM-based (lower-bound)	0.0	1.0	
contig_1048	13007	No	NA	28	4	0	Medium-quality	Genome-fragment	80.4	AAI-based (medium-confidence)	0.0	1.0	
contig_1049	2310	No	NA	5	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_105	29683	No	NA	68	19	0	High-quality	High-quality	90.97	AAI-based (medium-confidence)	0.0	1.0	
contig_1050	4930	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1051	8144	No	NA	14	3	0	Low-quality	Genome-fragment	22.89	AAI-based (high-confidence)	0.0	1.0	
contig_1052	12060	No	NA	25	4	0	Low-quality	Genome-fragment	22.15	AAI-based (medium-confidence)	0.0	1.0	
contig_1054	50858	No	NA	97	11	0	Medium-quality	Genome-fragment	76.25	HMM-based (lower-bound)	0.0	1.02	
contig_1055	12907	No	NA	17	3	0	Low-quality	Genome-fragment	7.97	HMM-based (lower-bound)	0.0	1.01	
contig_1056	3659	No	NA	7	1	0	Low-quality	Genome-fragment	5.83	HMM-based (lower-bound)	0.0	1.0	
contig_1057	35778	No	NA	76	11	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.01	
contig_1058	17568	No	NA	23	2	0	Low-quality	Genome-fragment	43.67	AAI-based (medium-confidence)	0.0	1.0	
contig_1059	10854	No	NA	18	1	0	Low-quality	Genome-fragment	6.06	HMM-based (lower-bound)	0.0	1.0	
contig_1061	6389	No	NA	12	1	0	Low-quality	Genome-fragment	13.65	AAI-based (medium-confidence)	0.0	1.01	
contig_1062	50552	No	NA	88	5	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.02	
contig_1063	2306	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
contig_1064	10968	No	NA	14	0	0	Medium-quality	Genome-fragment	70.01	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
contig_1065	9822	No	NA	17	1	0	Medium-quality	Genome-fragment	62.75	AAI-based (high-confidence)	0.0	1.0	
contig_1066	5137	No	NA	12	6	0	Low-quality	Genome-fragment	32.52	AAI-based (medium-confidence)	0.0	1.0	
contig_1067	7307	No	NA	14	6	0	Low-quality	Genome-fragment	15.24	HMM-based (lower-bound)	0.0	1.0	
