#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_200	109562	5	N	N	1	*	*,200,*
contig_601	85375	35	Y	N	6	*	601
contig_58	85038	5	N	N	1	*	*,58,*
contig_644	72339	4	N	N	1	*	*,644,*
contig_1484	68203	11	N	N	2	*	*,1484,106,*
contig_825	67695	3	N	N	1	*	*,825,*
contig_1096	65151	3	N	N	1	*	*,1096,*
contig_267	62774	4	N	N	1	*	*,267,268
contig_383	62193	8	Y	N	1	*	383
contig_184	58762	6	N	N	1	*	-473,-187,184,*
contig_815	56870	6	Y	N	1	*	815
contig_1289	56757	5	N	N	1	*	*,1289,*
contig_434	56443	9	N	N	1	*	*,434,*
contig_92	54599	4	N	N	1	*	*,92,*
contig_133	53613	7	N	N	1	*	*,133,*
contig_1205	52501	3	N	N	1	*	*,1205,*
contig_1131	51372	8	N	N	1	*	*,1131,*
contig_1054	50858	3	N	N	1	*	*,-1053,1054,*
contig_1062	50552	3	N	N	1	*	*,1062,*
contig_708	49001	13	N	N	2	*	*,708,*
contig_1157	48870	5	N	N	1	*	*,1157,*
contig_596	47077	10	Y	N	1	*	596
contig_1394	46587	4	N	N	1	*	*,1394,*
contig_1116	46540	3	Y	Y	1	*	1116
contig_1223	44980	3	N	N	1	*	*,1223,*
contig_1477	44251	3	N	N	1	*	*,1477,*
contig_1297	44160	3	N	N	1	*	*,1297,*
contig_447	44035	3	N	N	1	*	446,447,*
contig_1006	43357	9	N	N	2	*	*,1006,*
contig_123	43186	7	Y	N	1	*	123
contig_1333	42611	4	N	N	1	*	*,1333,*
contig_1159	42592	4	N	N	1	*	*,1159,*
contig_76	42392	3	N	N	1	*	*,76,*
contig_424	42208	13	Y	N	2	*	424
contig_891	41869	10	N	N	2	*	*,891,*
contig_1545	41551	5	N	N	1	*	*,1545,-674,-672,*
contig_1177	41139	8	N	N	1	*	*,1177,*
contig_1549	40575	4	N	N	1	*	*,1549,*
contig_519	40515	4	N	N	1	*	*,519,*
contig_490	40487	12	N	N	2	*	*,490,*
contig_1298	40164	4	N	N	1	*	*,1298,*
contig_1519	39859	4	N	N	1	*	*,1519,*
contig_1169	39797	3	N	N	1	*	*,1169,*
contig_473	39757	11	N	Y	2	*	473
contig_871	39689	9	Y	N	1	*	871
contig_1423	39584	3	N	N	1	*	*,1423,*
contig_260	39070	4	Y	N	1	*	260
contig_1456	38967	6	N	N	1	*	*,1456,*
contig_1546	38963	3	Y	Y	1	*	1546
contig_1356	38955	5	N	N	1	*	*,1356,*
contig_1393	38768	3	N	N	1	*	*,1393,*
contig_1037	38696	5	N	N	1	*	*,1037,*
contig_380	38690	4	N	N	1	*	*,380,*
contig_316	38647	11	Y	N	2	*	316
contig_492	38498	6	N	N	1	*	1500,492,*
contig_437	38470	4	N	N	1	*	*,437,*
contig_132	37964	4	Y	N	1	*	132
