gene	start	stop	frame	contig	score	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	custom_hmm_id	custom_hmm_bitscore	custom_hmm_evalue	phrog	Method	Region	color	annot	category	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	transl_table
contig_114_CDS_0001	96	1	-	contig_114	-1.5026071436174924	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	589	34.409233	3.4734968920885614e-08	No_custom_HMM	No_custom_HMM	No_custom_HMM	589	PHANOTATE_1.5.1	CDS	#ffdf59	HNH endonuclease	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0002	461	180	-	contig_114	-5.292434606432304	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0003	652	458	-	contig_114	-9.929069378131043	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	244	29.065483	2.270289972916931e-06	No_custom_HMM	No_custom_HMM	No_custom_HMM	244	PHANOTATE_1.5.1	CDS	#ffdf59	RusA-like Holliday junction resolvase	DNA, RNA and nucleotide metabolism	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0004	828	664	-	contig_114	-2.8967049163524674	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0005	1290	907	-	contig_114	-54.83645429251309	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0006	1538	1335	-	contig_114	-0.3675010004337205	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0007	1721	1569	-	contig_114	-0.5050596789976367	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0008	2346	1804	-	contig_114	-19.333578142729635	19042	49.0	0.304	5.287e-08	p46924 VI_12384	19042	58.329166	1.6815552346374424e-15	No_custom_HMM	No_custom_HMM	No_custom_HMM	19042	PHANOTATE_1.5.1	CDS	#c9c9c9	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0009	2450	2343	-	contig_114	-2.750286306286716	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
contig_114_CDS_0010	3000	2506	-	contig_114	-58.911364388899315	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROG	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	No_custom_HMM	No_custom_HMM	No_custom_HMM	No_PHROG	PHANOTATE_1.5.1	CDS	None	hypothetical protein	unknown function	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	11
