idx1	idx2	id1	id2	tani	gani	ani	cov	num_alns	len_ratio
0	1	contig_200	contig_601	0.405223	0.407915	0.839192	0.486081	267	1.283303
1	0	contig_601	contig_200	0.405223	0.401769	0.844582	0.475701	211	0.779239
1	547	contig_601	contig_960	0.027549	0.024750	0.611224	0.040492	60	8.137928
547	1	contig_960	contig_601	0.027549	0.050329	0.756447	0.066533	8	0.122881
2	83	contig_58	contig_1239	0.181342	0.142936	0.756096	0.189045	143	2.352886
83	2	contig_1239	contig_58	0.181342	0.271706	0.811034	0.335012	74	0.425010
2	374	contig_58	contig_98	0.041668	0.034561	0.625452	0.055258	78	5.765288
374	2	contig_98	contig_58	0.041668	0.082644	0.726460	0.113763	25	0.173452
3	208	contig_644	contig_669	0.036481	0.032997	0.620806	0.053153	64	3.122906
208	3	contig_669	contig_644	0.036481	0.047358	0.662840	0.071447	25	0.320215
3	325	contig_644	contig_1358	0.167408	0.126322	0.741781	0.170295	87	4.594411
325	3	contig_1358	contig_644	0.167408	0.356177	0.809703	0.439886	65	0.217656
3	361	contig_644	contig_1360	0.210150	0.164863	0.766502	0.215085	83	4.813935
361	3	contig_1360	contig_644	0.210150	0.428163	0.822867	0.520330	65	0.207730
3	432	contig_644	contig_1153	0.025800	0.020197	0.589826	0.034242	39	5.337490
432	3	contig_1153	contig_644	0.025800	0.055707	0.671111	0.083007	17	0.187354
3	442	contig_644	contig_528	0.050270	0.038278	0.678344	0.056429	51	5.448034
442	3	contig_528	contig_644	0.050270	0.115605	0.702839	0.164483	27	0.183552
3	492	contig_644	contig_1344	0.215034	0.160467	0.796651	0.201427	77	6.046389
492	3	contig_1344	contig_644	0.215034	0.544968	0.860953	0.632982	56	0.165388
3	524	contig_644	contig_643	0.157990	0.113493	0.797475	0.142316	63	6.582856
524	3	contig_643	contig_644	0.157990	0.450905	0.884979	0.509510	34	0.151910
3	606	contig_644	contig_1430	0.031424	0.022588	0.645340	0.035002	34	8.183145
606	3	contig_1430	contig_644	0.031424	0.103733	0.739516	0.140271	13	0.122202
3	916	contig_644	contig_374	0.018791	0.013547	0.664858	0.020376	21	22.776763
916	3	contig_374	contig_644	0.018791	0.138224	0.725620	0.190491	10	0.043904
3	925	contig_644	contig_1508	0.104659	0.073128	0.819647	0.089219	18	23.509587
