#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_271	45202	3	N	N	1	*	*,271,*
contig_237	43837	4	N	Y	1	*	*,237
contig_118	43609	6	N	N	1	*	*,118,*
contig_58	41832	8	N	N	2	*	*,58,*
contig_5	40122	5	Y	N	1	*	5
contig_22	40003	4	N	N	1	*	*,22,*
contig_183	38764	3	N	N	1	*	*,183,*
contig_23	38450	6	N	N	1	*	*,23,*
contig_281	37622	6	N	N	1	*	*,281,*
contig_64	37518	7	N	N	1	*	*,64,66
contig_215	36990	5	N	N	1	*	*,215,*
contig_209	36871	4	N	N	1	*	*,209,*
contig_310	36717	20	Y	N	5	*	310
contig_302	35743	3	Y	N	1	*	302
contig_44	35602	6	N	N	1	*	*,44,*
contig_112	35086	4	N	N	1	*	*,112,*
contig_305	34849	7	Y	N	1	*	305
contig_89	33961	7	N	N	1	*	*,89,*
contig_170	33420	4	Y	Y	1	*	170
contig_100	33418	11	Y	N	2	*	100
contig_304	33155	5	Y	N	1	*	304
contig_66	32839	3	N	Y	1	*	66
contig_171	31669	4	N	N	1	*	*,171,*
contig_192	31357	3	N	N	1	*	*,192,*
contig_122	30876	3	N	N	1	*	*,122,*
contig_287	30652	4	N	N	1	*	*,287,*
contig_306	30161	4	Y	N	1	*	306
contig_294	29992	3	Y	N	1	*	294
contig_155	29626	3	N	N	1	*	*,155,*
contig_10	29287	4	N	N	1	*	*,10,*
contig_159	28894	3	N	N	1	*	*,159,*
contig_157	28830	4	N	N	1	*	*,157,*
contig_3	28442	6	N	Y	1	50	3,*
contig_167	27850	3	N	N	1	*	*,167,*
contig_21	27226	3	N	N	1	*	*,21,*
contig_111	26914	3	N	N	1	*	*,111,*
contig_303	26862	17	N	N	4	*	*,303,*
contig_295	26274	6	Y	N	1	*	295
contig_291	23796	3	N	N	1	*	*,291,*
contig_27	23741	4	N	N	1	*	*,27,*
contig_84	23345	6	N	N	1	*	*,84,*
contig_208	23077	4	N	N	1	*	*,208,*
contig_51	22921	4	N	N	1	*	*,51,*
contig_206	22341	3	N	N	1	*	*,206,*
contig_128	21918	6	N	N	1	*	*,128,*
contig_80	21022	3	N	N	1	*	*,80,*
contig_249	20729	3	N	N	1	*	*,249,*
contig_273	20722	7	N	N	2	*	*,273,*
contig_35	20621	12	N	N	2	*	*,35,*
contig_86	19917	5	N	N	1	*	*,86,*
contig_290	19188	8	N	N	1	*	*,290,*
contig_81	18458	4	N	N	1	*	*,81,*
contig_126	18391	3	N	N	1	*	*,126,*
contig_240	18057	3	N	N	1	*	*,240,*
contig_109	17875	5	N	N	1	*	*,109,*
contig_31	17828	4	N	N	1	*	*,31,*
contig_298	17824	3	N	N	1	*	*,298,*
contig_38	17664	4	N	N	1	*	*,38,*
contig_216	17382	4	N	N	1	*	*,216,*
contig_52	17132	9	N	N	2	*	*,52,*
contig_280	17025	13	N	N	2	*	*,280,*
contig_288	16903	4	N	N	1	*	*,288,*
