gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
contig_101_1	444	653	210	1	0.390	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_2	675	941	267	-1	0.352	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_3	1225	1596	372	1	0.363	11	None	GENOMAD.019215.VV	5.17e-37	136	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_4	1624	1878	255	1	0.412	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_5	2674	2958	285	1	0.382	11	TAAA	GENOMAD.005956.VV	7.601e-28	108	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_6	2976	3116	141	1	0.418	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_7	3658	3837	180	-1	0.311	11	TAA	GENOMAD.006380.VV	1.313e-14	68	0	0	1	2561	Caudoviricetes	NA	NA	PF11753	Protein of unknwon function (DUF3310)
contig_101_8	5366	5578	213	1	0.376	11	TATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_9	6244	6645	402	-1	0.408	11	AAA	GENOMAD.104632.VP	4.663e-59	200	0	0	1	2561	Caudoviricetes	NA	NA	PF06378;PF04466;TIGR01547;COG5323	Phage terminase large subunit
contig_101_10	7321	7443	123	1	0.333	11	TAA	GENOMAD.068199.VV	0.0008821	36	0	0	0	2561	Caudoviricetes	NA	NA	PF07120;COG3756	Uncharacterized conserved protein YdaU, DUF1376 family
contig_101_11	7586	7768	183	1	0.344	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_12	7928	8203	276	1	0.380	11	TAA	GENOMAD.111110.VP	4.504e-09	54	0	0	1	2561	Caudoviricetes	NA	NA	PF11753;PF13481;COG2874;TIGR00955;K17063	Protein of unknwon function (DUF3310); AAA domain
contig_101_13	8205	8360	156	1	0.378	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_14	8324	8482	159	1	0.308	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_15	8550	8777	228	1	0.377	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_16	9679	9927	249	1	0.422	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_17	9924	10130	207	1	0.406	11	None	GENOMAD.107321.VV	8.14e-16	72	0	0	0	2561	Caudoviricetes	NA	NA	PF07102	Putative nuclease YbcO
contig_101_18	10416	10625	210	1	0.367	11	TAA	GENOMAD.030544.VV	8.749e-23	92	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_19	10731	11081	351	1	0.356	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_20	11175	11369	195	1	0.436	11	TAA	GENOMAD.077747.VV	2.125e-12	62	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_21	11649	11756	108	1	0.398	11	TAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_22	11835	11960	126	1	0.381	11	TAA	GENOMAD.093601.VV	8.09e-05	39	0	0	0	1	NA	NA	NA	NA	NA
contig_101_23	11950	12105	156	1	0.417	11	AAAAA	GENOMAD.003225.VV	2.487e-12	61	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_24	12102	12317	216	1	0.435	11	AAAA	GENOMAD.001358.VV	2.358e-14	68	0	0	0	2561	Caudoviricetes	NA	NA	PF19846	NA
contig_101_25	12397	12684	288	1	0.351	11	AAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_26	12798	13178	381	1	0.378	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_27	13601	13756	156	1	0.365	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_28	15976	16077	102	1	0.353	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_29	16028	16324	297	1	0.364	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_30	16311	16520	210	1	0.410	11	TAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_101_31	16809	17432	624	1	0.402	11	TAA	GENOMAD.048660.VV	8.533e-44	160	0	0	1	2561	Caudoviricetes	NA	NA	PF16510	Phage P22-like portal protein
contig_101_32	17407	18060	654	1	0.405	11	TAAA	GENOMAD.108044.VV	1.528e-09	60	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_33	18088	18288	201	1	0.358	11	None	GENOMAD.126411.VP	0.0006259	38	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_101_34	18440	18775	336	1	0.438	11	None	GENOMAD.031931.VV	4.513e-17	78	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1015_1	2	166	165	1	0.497	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_2	615	1430	816	1	0.511	11	None	GENOMAD.124719.VV	5.614e-38	146	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_3	1583	2182	600	1	0.493	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_4	4231	4398	168	1	0.470	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_5	4364	4522	159	1	0.440	11	None	GENOMAD.074760.VV	5.207e-13	63	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_6	4519	4947	429	1	0.506	11	None	GENOMAD.035781.VV	9.356e-13	67	0	0	0	2561	Caudoviricetes	NA	NA	PF08291;K08640	Peptidase M15
contig_1015_7	4892	5242	351	1	0.473	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_8	5239	6108	870	1	0.476	11	None	GENOMAD.017459.VV	2.006e-62	218	0	0	0	2561	Caudoviricetes	NA	NA	PF12850;TIGR04123;COG4186	Calcineurin-like phosphoesterase superfamily domain
contig_1015_9	6269	6682	414	1	0.498	11	None	GENOMAD.023842.VV	8.522e-12	64	0	0	0	5797	Crassvirales	NA	NA	NA	NA
contig_1015_10	6679	7074	396	1	0.477	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_11	7163	7402	240	1	0.483	11	None	GENOMAD.116301.VV	1.421e-22	92	0	0	0	2561	Caudoviricetes	NA	NA	COG1591	Holliday junction resolvase, archaeal type
contig_1015_12	7399	7569	171	1	0.398	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_13	7529	7816	288	1	0.469	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_14	7795	8325	531	1	0.458	11	3Base/5BMM	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1015_15	8354	9061	708	1	0.472	11	3Base/5BMM	GENOMAD.141444.VV	1.842e-23	102	0	0	0	2561	Caudoviricetes	NA	NA	PF01057;PF02257;TIGR01613;COG5545	phage/plasmid primase, P4 family, C-terminal domain
contig_1015_16	9169	9474	306	1	0.500	11	None	GENOMAD.222984.VP	1.222e-10	59	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_1	156	305	150	1	0.393	11	AAA	GENOMAD.138694.VV	1.112e-18	79	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_2	383	1090	708	1	0.386	11	AAAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_3	1125	1307	183	1	0.372	11	AAAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_4	3081	3302	222	1	0.360	11	None	GENOMAD.051118.VV	0.0001681	40	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_5	3627	3785	159	1	0.365	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_6	4474	4656	183	1	0.333	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_7	4755	4979	225	1	0.387	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_8	4976	5389	414	1	0.367	11	AATAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_9	6178	6285	108	1	0.398	11	AAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_10	6717	6893	177	1	0.316	11	AAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_11	7485	7628	144	1	0.292	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_12	8093	8194	102	1	0.353	11	AATAA	GENOMAD.016117.VV	2.127e-12	60	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_13	8443	8742	300	1	0.357	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_14	8751	9137	387	1	0.323	11	None	GENOMAD.071095.VV	2.589e-30	117	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_15	9938	10390	453	-1	0.353	11	AAA	GENOMAD.066507.VV	1.004e-33	128	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_16	10564	11523	960	1	0.354	11	AAAA	GENOMAD.002367.VV	1.291e-164	515	0	0	0	2561	Caudoviricetes	NA	NA	PF14550	Putative phage serine protease XkdF
contig_1019_17	11540	11680	141	1	0.340	11	AAAAAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_18	11796	11996	201	1	0.368	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_19	12263	12424	162	1	0.395	11	AAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_20	13164	13505	342	1	0.351	11	AAT	GENOMAD.024250.VV	2.194e-49	171	0	0	0	2561	Caudoviricetes	NA	NA	NA	NA
contig_1019_21	13508	13708	201	1	0.348	11	AAT	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_22	13740	14012	273	1	0.333	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_23	14455	14691	237	1	0.359	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_24	14730	14825	96	1	0.385	11	AAA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
contig_1019_25	14825	15127	303	1	0.370	11	AAA	GENOMAD.002668.VV	2.192e-35	130	0	0	0	2561	Caudoviricetes	NA	NA	PF20459	NA
contig_1019_26	15562	15927	366	1	0.320	11	AAAA	GENOMAD.024134.VV	2.135e-45	160	0	0	1	2561	Caudoviricetes	NA	NA	PF05105;TIGR01593;COG4824	toxin secretion/phage lysis holin
contig_1019_27	17246	17371	126	1	0.413	11	AAA	GENOMAD.005616.VV	3.586e-05	40	0	0	0	2561	Caudoviricetes	NA	NA	PF10108;TIGR04165;COG3877	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB
